"";"";"";"";"image";""
"1";"image";"1.69683342451811";"0.212213073087386";"1.02082177048425";"72"
"2";"academy";"2.10577319059883";"0.0323254909139773";"0.997795296761122";"76"
"3";"separate";"2.10577319059883";"0.0323254909139773";"0.997795296761122";"77"
"4";"institution";"2.10577319059883";"0.0323254909139773";"0.997795296761122";"79"
"5";"difficult";"2.10577319059883";"0.0323254909139773";"0.997795296761122";"81"
"6";"provide";"1.41372127876991";"0.336750629976669";"0.997436168271862";"83"
"7";"condition";"1.42158181962918";"-0.373442700779437";"0.997436168271862";"85"
"8";"word";"2.10577319059883";"0.0323254909139775";"0.969276269672848";"108"
"9";"group";"2.10577319059883";"0.0323254909139775";"0.969276269672848";"110"
"10";"commitment";"2.10577319059883";"0.0323254909139775";"0.969276269672848";"111"
"11";"right";"2.10577319059883";"0.0323254909139775";"0.969276269672848";"112"
"12";"goal";"2.10577319059883";"0.0323254909139775";"0.969276269672848";"114"
"13";"convergence";"2.10577319059883";"0.0323254909139775";"0.969276269672848";"115"
"14";"code";"2.10577319059883";"0.0323254909139775";"0.969276269672848";"116"
"15";"impact";"1.05335185669405";"-0.0451721375683398";"0.967945381742061";"118"
"16";"phenomenon";"-1.26797987956714";"1.5163980438446";"0.829490786529801";"216"
"17";"emergence";"-1.26797987956714";"1.5163980438446";"0.829490786529801";"221"
"18";"discovery";"-1.26797987956714";"1.5163980438446";"0.829490786529801";"223"
"19";"software";"-1.00059987177202";"0.692045285939984";"0.828540152293525";"225"
"20";"discover";"-0.893118427326473";"1.35150109351898";"0.822751846054868";"231"
