"";"Coord. facteur 1";"Coord. facteur 2";"Corr. facteur 1";"Corr. facteur 2";"COR -facteur 1";"COR -facteur 2";"CTR -facteur 1";"CTR -facteur 2";"mass";"chi.distance";"inertie"
"humanity";-0,733927103791291;0,352768108208365;-0,901291486167364;0,433213177272143;0,857208726762277;0,142791273237747;0,030258724650013;0,00699074400178215;0,0561752180085175;0,354814784108645;0,00707209655102652
"digital";-0,481037305920503;0,141369071775529;-0,959426213272092;0,281959822113674;0,941378379639974;0,0586216203600317;0,0119429138968579;0,00103148186548665;0,0516122490367066;0,221916054025309;0,00254173475282796
"technology";-0,843669350822158;0,171966788224155;-0,979851958871685;0,199725157892846;0,970915061019039;0,029084938980964;0,017754753750264;0,000737665154940616;0,0249442303792334;0,383242554188046;0,00366368022853195
"research";-1,18270910606687;0,80146451590947;-0,827829472633375;0,560979825162678;0,751260147995958;0,248739852004046;0,0307787243984433;0,014133942947359;0,0220036503751775;0,61076597861596;0,00820813349196232
"tool";-0,703519115583859;-0,00252165873750778;-0,999993576279458;-0,00358432696883297;0,999990736841411;9,26315859164275e-06;0,00943505976946628;1,21217542509478e-07;0,0190630703711215;0,314898061079301;0,00189030909631338
"dh";0,206156246560122;-0,287378566684733;0,582895483581719;-0,812547140306354;0,416481981167465;0,583518018832538;0,000719688345699814;0,00139849275790832;0,016933684850943;0,142984994483417;0,000346204253104809
"study";-0,140433579912669;0,754098111713251;-0,183079605028869;0,983098091861882;0,0458924513466036;0,954107548653397;0,00027596628175402;0,00795737444416444;0,013993104846887;0,293421823445835;0,00120475548301059
"method";-1,0247361818484;0,458960629867035;-0,912643535097968;0,408756379575762;0,873642053765167;0,126357946234837;0,0123514269029761;0,00247767225036318;0,0117623200162239;0,490724089571359;0,00283248583674044
"way";-0,0491004500346692;-0,524631423551009;-0,0931831586644782;-0,995648983799668;0,0120026139704584;0,987997386029541;2,83572385376614e-05;0,00323743897251575;0,0117623200162239;0,200604017427434;0,000473338950489866
"work";0,00393602370604297;-0,394214274869168;0,00998398023844172;-0,999950158827228;0,000138244662295052;0,999861755337705;1,60232491044645e-07;0,00160731081323095;0,0103427296694382;0,149839250581943;0,000232212908489732
"compute";-0,860278786567332;0,00873305256409535;-0,999948478302835;0,0101508984747264;0,999925704286767;7,42957132353047e-05;0,00622861549597184;6,41867287390179e-07;0,00841614277022916;0,385076858682981;0,00124798088914335
"question";-1,05369906209874;-2,28822322739063;-0,418271331927339;-0,90832213057248;0,227261817895793;0,772738182104206;0,0117085072196966;0,0552160227124801;0,0105455282904076;0,989339680399664;0,010321889305839
"field";-0,423786710906902;0,326354147589848;-0,792294663543893;0,610138644997897;0,700482018970491;0,299517981029512;0,00183929353178567;0,00109077367618726;0,0102413303589536;0,226642269799185;0,000526063533201417
"traditional";-0,357980239359458;0,409364799667485;-0,658281741856849;0,752771644217496;0,514706289995817;0,485293710004186;0,00118248190136269;0,00154631292514894;0,00922733725410667;0,223342508192498;0,000460276892403178
"discipline";-0,216766946191964;0,513537529417306;-0,388880664548164;0,921288135569203;0,198149450362842;0,80185054963716;0,000404986033433191;0,00227299406816088;0,00861894139119854;0,217965970777037;0,000409478703653008
"define";0,445043652022795;-0,412293315749781;0,733583269097991;-0,67959957864871;0,61774188257496;0,382258117425043;0,00172718427192229;0,00148233390044896;0,00872034070168323;0,253449337242046;0,000560164745808678
"computer";0,630481735226617;0,216095051702299;0,945978216043333;0,324230187939792;0,921913310164809;0,0780866898351927;0,00318424967125278;0,000374069016248968;0,00801054552829041;0,293913503704166;0,000691992158295785
"medium";-0,421859414019137;-0,427356700267069;-0,70251470148918;-0,711669230887193;0,574737334383941;0,425262665616059;0,00137146296440269;0,00140743915473535;0,00770634759683634;0,249072117609671;0,000478078067589029
"scholarship";-0,799299886938206;-0,121596449379239;-0,988625485025229;-0,150398305703989;0,983587394095376;0,0164126059046271;0,0049882157587686;0,000115442976133251;0,00780774690732103;0,360740869121606;0,00101605313814694
"practice";-0,482871028043548;0,582091986768983;-0,638461683356791;0,769653609674647;0,488337653065364;0,511662346934639;0,00184413156747708;0,00267986456324596;0,00790914621780572;0,309288032404019;0,000756581706052652
"think";0,858501154810663;-0,521522351971449;0,854659633586697;-0,519188704343086;0,789841737859242;0,210158262140762;0,0056050311763175;0,00206843614585656;0,00760494828635165;0,432377331312909;0,00142174627332138
