"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"3";"***";"";""
"**";"classe";"1";"**";"";""
"****";"316";"735";"42.99";"****";""
"203";"554";"36.64";"-37.019";"humanity";"1.170008e-09"
" 58";"217";"26.73";"-33.236";"research";"8.164169e-09"
" 14";" 67";"20.90";"-14.688";"application";"1.268747e-04"
" 84";"246";"34.15";"-11.808";"technology";"5.898647e-04"
"  7";" 40";"17.50";"-11.217";"develop";"8.104240e-04"
"  0";" 13";" 0.00";" -9.981";"dissemination";"1.581786e-03"
" 30";"104";"28.85";" -9.892";"question";"1.659739e-03"
" 35";"116";"30.17";" -9.238";"method";"2.371004e-03"
"  1";" 12";" 8.33";" -5.979";"specific";"1.447393e-02"
"  3";" 19";"15.79";" -5.889";"collaboration";"1.523380e-02"
"  4";" 22";"18.18";" -5.696";"collaborative";"1.700033e-02"
"  2";" 15";"13.33";" -5.496";"mode";"1.905847e-02"
" 14";" 51";"27.45";" -5.401";"methodology";"2.012138e-02"
"  0";"  7";" 0.00";" -5.330";"constantly";"2.096141e-02"
"  6";" 27";"22.22";" -4.934";"ask";"2.633225e-02"
"  2";" 14";"14.29";" -4.799";"innovative";"2.847751e-02"
"  1";" 10";"10.00";" -4.503";"facilitate";"3.384165e-02"
"  4";" 20";"20.00";" -4.435";"enable";"3.521133e-02"
"  7";" 29";"24.14";" -4.379";"resource";"3.637474e-02"
" 23";" 72";"31.94";" -3.976";"teach";"4.616307e-02"
"  5";" 22";"22.73";" -3.800";"technique";"5.124098e-02"
"  0";"  5";" 0.00";" -3.797";"ict";"5.135336e-02"
"  0";"  5";" 0.00";" -3.797";"evolution";"5.135336e-02"
"  0";"  5";" 0.00";" -3.797";"integration";"5.135336e-02"
"  0";"  5";" 0.00";" -3.797";"imply";"5.135336e-02"
"  1";"  9";"11.11";" -3.779";"presentation";"5.190416e-02"
"  1";"  9";"11.11";" -3.779";"intersect";"5.190416e-02"
"  1";"  9";"11.11";" -3.779";"http";"5.190416e-02"
" 70";"188";"37.23";" -3.419";"tool";"6.446547e-02"
"  6";" 24";"25.00";" -3.277";"base";"7.024342e-02"
" 28";" 83";"33.73";" -3.272";"compute";"7.045981e-02"
" 10";" 35";"28.57";" -3.119";"engage";"7.740043e-02"
"  1";"  8";"12.50";" -3.068";"address";"7.982438e-02"
"  1";"  8";"12.50";" -3.068";"improve";"7.982438e-02"
"  0";"  4";" 0.00";" -3.033";"reflexive";"8.157629e-02"
"  0";"  4";" 0.00";" -3.033";"preserve";"8.157629e-02"
"  0";"  4";" 0.00";" -3.033";"pose";"8.157629e-02"
"  0";"  4";" 0.00";" -3.033";"light";"8.157629e-02"
"  0";"  4";" 0.00";" -3.033";"easy";"8.157629e-02"
"  2";" 11";"18.18";" -2.805";"investigate";"9.397691e-02"
"  3";" 14";"21.43";" -2.708";"result";"9.985044e-02"
" 13";" 42";"30.95";" -2.635";"intersection";"1.045288e-01"
" 15";" 47";"31.91";" -2.514";"computational";"1.128178e-01"
"  1";"  7";"14.29";" -2.376";"pursue";"1.231819e-01"
"  1";"  7";"14.29";" -2.376";"necessarily";"1.231819e-01"
"  1";"  7";"14.29";" -2.376";"aim";"1.231819e-01"
"  0";"  3";" 0.00";" -2.272";"situate";"1.317466e-01"
"  0";"  3";" 0.00";" -2.272";"interrogate";"1.317466e-01"
"  0";"  3";" 0.00";" -2.272";"utilization";"1.317466e-01"
"  0";"  3";" 0.00";" -2.272";"theoretically";"1.317466e-01"
"  0";"  3";" 0.00";" -2.272";"perceive";"1.317466e-01"
"  0";"  3";" 0.00";" -2.272";"outreach";"1.317466e-01"
"  0";"  3";" 0.00";" -2.272";"interdisciplinarity";"1.317466e-01"
"  0";"  3";" 0.00";" -2.272";"employ";"1.317466e-01"
"  0";"  3";" 0.00";" -2.272";"developer";"1.317466e-01"
"  0";"  3";" 0.00";" -2.272";"accessibility";"1.317466e-01"
" 27";" 77";"35.06";" -2.206";"scholarship";"1.374855e-01"
"  2";" 10";"20.00";" -2.187";"inform";"1.391925e-01"
"*****";"*";"*";"*";"*";"*"
"42";"122";"34.43";"-4.380";"use";"0.03635430"
" 0";"  4";" 0.00";"-3.033";"far";"0.08157629"
" 1";"  7";"14.29";"-2.376";"re";"0.12318187"
" 0";"  3";" 0.00";"-2.272";"com";"0.13174659"
"*";"*";"*";"*";"*";"*"
"71";"227";"31.28";"-18.393";"*year_2012-01-01";"1.796997e-05"
"**";"classe";"2";"**";"";""
"****";"84";"735";"11.43";"****";""
" 4";"138";" 2.90";"-12.213";"study";"0.0004746888"
" 0";" 67";" 0.00";" -9.512";"application";"0.0020410299"
" 0";" 47";" 0.00";" -6.479";"text";"0.0109168220"
" 0";" 43";" 0.00";" -5.893";"history";"0.0151998292"
" 0";" 38";" 0.00";" -5.171";"include";"0.0229729866"
"16";"217";" 7.37";" -5.002";"research";"0.0253123345"
" 0";" 33";" 0.00";" -4.458";"subject";"0.0347334715"
" 0";" 33";" 0.00";" -4.458";"activity";"0.0347334715"
" 0";" 30";" 0.00";" -4.036";"literature";"0.0445474611"
" 1";" 44";" 2.27";" -3.876";"term";"0.0489838864"
"56";"554";"10.11";" -3.874";"humanity";"0.0490401334"
" 4";" 79";" 5.06";" -3.543";"computer";"0.0598004778"
" 0";" 26";" 0.00";" -3.478";"language";"0.0621949254"
" 0";" 26";" 0.00";" -3.478";"relate";"0.0621949254"
" 2";" 54";" 3.70";" -3.436";"understand";"0.0637968805"
" 1";" 38";" 2.63";" -3.064";"art";"0.0800679451"
" 0";" 23";" 0.00";" -3.064";"area";"0.0800636092"
" 0";" 23";" 0.00";" -3.064";"part";"0.0800636092"
" 0";" 22";" 0.00";" -2.926";"collaborative";"0.0871470293"
" 5";" 85";" 5.88";" -2.921";"discipline";"0.0874447047"
" 1";" 36";" 2.78";" -2.799";"science";"0.0943473589"
" 1";" 36";" 2.78";" -2.799";"thing";"0.0943473589"
" 0";" 21";" 0.00";" -2.789";"bring";"0.0948913009"
" 0";" 21";" 0.00";" -2.789";"umbrella";"0.0948913009"
" 4";" 72";" 5.56";" -2.720";"teach";"0.0991080649"
" 1";" 35";" 2.86";" -2.667";"analysis";"0.1024271672"
" 0";" 20";" 0.00";" -2.653";"challenge";"0.1033656622"
" 2";" 47";" 4.26";" -2.552";"computational";"0.1101290492"
" 1";" 33";" 3.03";" -2.407";"interest";"0.1207585925"
" 0";" 17";" 0.00";" -2.245";"problem";"0.1340049069"
" 0";" 17";" 0.00";" -2.245";"time";"0.1340049069"
" 0";" 17";" 0.00";" -2.245";"network";"0.1340049069"
" 0";" 17";" 0.00";" -2.245";"enhance";"0.1340049069"
" 0";" 17";" 0.00";" -2.245";"idea";"0.1340049069"
" 0";" 17";" 0.00";" -2.245";"emerge";"0.1340049069"
" 5";" 78";" 6.41";" -2.171";"practice";"0.1406407030"
" 0";" 16";" 0.00";" -2.110";"design";"0.1462955200"
" 0";" 16";" 0.00";" -2.110";"broadly";"0.1462955200"
" 1";" 30";" 3.33";" -2.025";"communication";"0.1547440706"
"*****";"*";"*";"*";"*";"*"
" 7";"138";"5.07";"-6.781";"or";"0.009213709"
" 0";" 26";"0.00";"-3.478";"used";"0.062194925"
" 0";" 22";"0.00";"-2.926";"e";"0.087147029"
" 3";" 62";"4.84";"-2.905";"at";"0.088310808"
" 1";" 36";"2.78";"-2.799";"who";"0.094347359"
" 3";" 60";"5.00";"-2.667";"also";"0.102427167"
" 0";" 20";"0.00";"-2.653";"don_t";"0.103365662"
"29";"312";"9.29";"-2.438";"in";"0.118406435"
" 0";" 17";"0.00";"-2.245";"you";"0.134004907"
" 0";" 17";"0.00";"-2.245";"know";"0.134004907"
" 0";" 17";"0.00";"-2.245";"uses";"0.134004907"
" 9";"120";"7.50";"-2.187";"are";"0.139212758"
" 1";" 31";"3.23";"-2.151";"such";"0.142444480"
" 0";" 16";"0.00";"-2.110";"up";"0.146295520"
"*";"*";"*";"*";"*";"*"
"3";"66";"4.55";"-3.394";"*year_2010-01-01";"0.06544085"
"0";"20";"0.00";"-2.653";"*year_2009-01-01";"0.10336566"
"**";"classe";"3";"**";"";""
"****";"335";"735";"45.58";"****";""
" 2";" 47";" 4.26";"-34.566";"text";"4.120516e-09"
"12";" 75";"16.00";"-29.459";"think";"5.711031e-08"
" 0";" 33";" 0.00";"-28.937";"answer";"7.478257e-08"
" 1";" 36";" 2.78";"-27.956";"thing";"1.240880e-07"
" 3";" 43";" 6.98";"-27.436";"history";"1.623438e-07"
"10";" 62";"16.13";"-23.675";"human";"1.140842e-06"
"50";"167";"29.94";"-21.306";"dh";"3.915839e-06"
" 2";" 30";" 6.67";"-19.092";"literature";"1.245794e-05"
" 4";" 37";"10.81";"-18.987";"cultural";"1.316359e-05"
" 1";" 26";" 3.85";"-18.924";"language";"1.359951e-05"
" 4";" 36";"11.11";"-18.130";"person";"2.063489e-05"
"21";" 86";"24.42";"-17.580";"define";"2.754228e-05"
" 2";" 27";" 7.41";"-16.465";"ask";"4.956737e-05"
"12";" 56";"21.43";"-14.253";"create";"1.598303e-04"
" 0";" 15";" 0.00";"-12.824";"wide";"3.421613e-04"
" 0";" 15";" 0.00";"-12.824";"philosophy";"3.421613e-04"
" 0";" 14";" 0.00";"-11.953";"source";"5.456913e-04"
" 1";" 18";" 5.56";"-11.916";"write";"5.566015e-04"
" 9";" 44";"20.45";"-11.910";"culture";"5.584426e-04"
"12";" 52";"23.08";"-11.422";"humanistic";"7.256592e-04"
"22";" 79";"27.85";"-11.218";"computer";"8.102029e-04"
"15";" 60";"25.00";"-11.154";"humanist";"8.386212e-04"
" 1";" 17";" 5.88";"-11.055";"kind";"8.843161e-04"
" 1";" 17";" 5.88";"-11.055";"order";"8.843161e-04"
"32";"104";"30.77";"-10.711";"question";"1.065250e-03"
"37";"116";"31.90";"-10.394";"way";"1.263916e-03"
" 0";" 12";" 0.00";"-10.217";"english";"1.391667e-03"
" 3";" 23";"13.04";"-10.132";"part";"1.457082e-03"
" 6";" 32";"18.75";" -9.708";"build";"1.834538e-03"
" 0";" 11";" 0.00";" -9.352";"literary";"2.226853e-03"
" 0";" 11";" 0.00";" -9.352";"sense";"2.226853e-03"
" 0";" 11";" 0.00";" -9.352";"participate";"2.226853e-03"
" 0";" 11";" 0.00";" -9.352";"audience";"2.226853e-03"
"14";" 54";"25.93";" -9.075";"understand";"2.591742e-03"
" 2";" 18";"11.11";" -8.837";"opportunity";"2.951323e-03"
" 1";" 14";" 7.14";" -8.500";"mind";"3.551721e-03"
" 0";" 10";" 0.00";" -8.491";"pattern";"3.570023e-03"
" 0";" 10";" 0.00";" -8.491";"value";"3.570023e-03"
" 0";" 10";" 0.00";" -8.491";"interpret";"3.570023e-03"
" 0";" 10";" 0.00";" -8.491";"increasingly";"3.570023e-03"
" 0";" 10";" 0.00";" -8.491";"collaborate";"3.570023e-03"
" 0";" 10";" 0.00";" -8.491";"call";"3.570023e-03"
" 4";" 24";"16.67";" -8.361";"find";"3.834252e-03"
"33";"102";"32.35";" -8.351";"work";"3.853706e-03"
"13";" 50";"26.00";" -8.291";"definition";"3.985183e-03"
" 6";" 30";"20.00";" -8.250";"world";"4.076205e-03"
" 2";" 17";"11.76";" -8.022";"time";"4.622196e-03"
"11";" 44";"25.00";" -7.990";"inquiry";"4.703586e-03"
" 1";" 13";" 7.69";" -7.658";"read";"5.651904e-03"
