"";"classe 1";"classe 2";"classe 3"
"humanity";-37,019;-3,874;53,368
"digital";-0,383;-0,087;0,646
"technology";-11,808;0,503;8,778
"research";-33,236;-5,002;51,257
"tool";-3,419;1,439;1,148
"dh";18,517;0,281;-21,306
"study";3,403;-12,213;0,159
"method";-9,238;-0,16;10,736
"way";4,284;3,335;-10,394
"work";4,782;1,257;-8,351
"compute";-3,272;0,848;1,464
"question";-9,892;100,342;-10,711
"field";0,016;-0,733;0,179
"traditional";0,18;-1,432;0,117
"discipline";1,078;-2,921;0,004
"define";15,575;0,179;-17,58
"computer";20,968;-3,543;-11,218
"medium";0,006;2,698;-1,273
"scholarship";-2,206;1,468;0,493
"practice";-0,017;-2,171;1,145
"think";28,673;0,027;-29,459
"humanist";12,91;-0,132;-11,154
"human";21,62;0,145;-23,675
"teach";-3,976;-2,72;9,214
"application";-14,688;-9,512;33,406
"understand";17,823;-3,436;-9,075
"culture";4,948;3,767;-11,91
"knowledge";2,689;0,001;-2,711
"create";19,998;-1,1;-14,253
"humanistic";0,035;24,996;-11,422
"text";57,009;-6,479;-34,566
"mean";10,665;-1,46;-6,122
"information";-0,954;-0,422;1,921
"datum";0,768;-1,46;-0,01
"methodology";-5,401;3,622;1,198
"definition";13,689;-1,562;-8,291
"approach";-0,102;-1,46;1,185
"term";14,401;-3,876;-6,323
"inquiry";-1,513;40,183;-7,99
"computational";-2,514;-2,552;6,743
"scholar";-0,73;-1,167;2,369
"cultural";19,904;-0,015;-18,987
"science";6,744;-2,799;-2,288
"thing";40,886;-2,799;-27,956
"intersection";-2,635;2,555;0,351
"history";46,643;-5,893;-27,436
"social";0,803;0,753;-2,088
"art";10,571;-3,064;-4,468
"community";0,001;0,167;-0,086
"person";21,792;-0,358;-18,13
"include";8,496;-5,171;-2,088
"develop";-11,217;0,533;8,196
"build";13,984;-0,886;-9,708
"analysis";9,81;-2,667;-4,285
"apply";0,276;-0,358;-0,02
"answer";-1,315;104,149;-28,937
"involve";0,033;-1,29;0,298
"interest";7,901;-2,407;-3,25
"explore";0,276;1,026;-1,368
"engage";-3,119;1,185;1,123
"critical";0,467;-0,296;-0,11
"subject";1,881;-4,458;0
"material";-0,242;-0,098;0,475
"activity";1,881;-4,458;0
"object";8,841;-0,239;-6,987
"form";3;-0,792;-1,33
"scholarly";9,056;-0,886;-5,712
"project";8,31;-0,035;-7,54
