humanity;203;56;295
digital;215;57;237
technology;84;31;131
research;58;16;143
tool;70;26;92
dh;96;21;50
study;69;4;65
method;35;12;69
way;60;19;37
work;54;15;33
compute;28;12;43
question;30;42;32
field;44;9;48
traditional;41;7;43
discipline;41;5;39
define;54;11;21
computer;53;4;22
medium;33;13;30
scholarship;27;12;38
practice;33;5;40
think;54;9;12
humanist;39;6;15
human;44;8;10
teach;23;4;45
application;14;0;53
understand;38;2;14
culture;26;9;9
knowledge;28;6;18
create;40;4;12
humanistic;23;17;12
text;45;0;2
mean;32;3;14
information;17;4;26
datum;24;3;22
methodology;14;10;27
definition;34;3;13
approach;20;3;26
term;31;1;12
inquiry;15;18;11
computational;15;2;30
scholar;17;3;26
cultural;29;4;4
science;23;1;12
thing;34;1;1
intersection;13;8;21
history;40;0;3
social;19;6;13
art;26;1;11
community;16;5;16
person;29;3;4
include;25;0;13
develop;7;6;27
build;24;2;6
analysis;24;1;10
apply;17;3;16
answer;11;22;0
involve;16;2;18
interest;22;1;10
explore;17;6;13
engage;10;6;19
critical;17;3;15
subject;18;0;15
material;12;3;16
activity;18;0;15
object;23;3;8
form;18;2;11
scholarly;22;2;8
project;20;3;6
world;21;3;6
literature;28;0;2
communication;13;1;16
set;16;5;5
interdisciplinary;15;1;13
resource;7;3;19
learn;20;1;6
change;12;6;4
ask;6;19;2
creation;10;1;16
concern;12;7;7
academic;13;1;12
process;17;3;6
language;25;0;1
find;19;1;4
base;6;2;16
area;12;0;11
share;13;5;8
relate;13;0;13
open;9;5;11
part;20;0;3
focus;12;4;9
bring;15;0;6
development;9;1;14
technique;5;2;15
support;15;2;5
collaborative;4;0;18
analyze;14;1;7
theory;10;2;8
student;13;2;4
problem;9;0;8
present;12;3;6
umbrella;17;0;4
time;15;0;2
public;14;2;5
network;12;0;5
enhance;7;0;10
challenge;15;0;5
write;15;2;1
researcher;7;1;6
production;12;2;5
kind;14;2;1
idea;13;0;4
experience;11;1;6
enable;4;3;13
age;9;3;5
often;6;1;10
emerge;9;0;8
design;10;0;6
creative;6;1;9
content;8;1;5
collaboration;3;3;13
technological;10;0;5
read;10;2;1
print;5;1;1
perspective;5;6;4
opportunity;7;9;2
life;11;1;4
impact;13;1;3
access;8;3;7
view;11;0;3
order;13;3;1
mode;2;2;11
environment;8;1;7
communicate;8;1;8
broadly;13;0;3
seek;4;3;6
result;3;2;9
online;13;0;2
interpretation;6;6;1
digitally;8;0;3
century;6;0;4
wide;15;0;0
source;5;9;0
philosophy;15;0;0
pattern;10;0;0
offer;4;4;4
nature;9;1;4
