"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"1";3;5;7;8;11;12;15;17;18
"2";3;5;7;8;11;12;15;17;19
"3";3;5;7;8;11;12;15;17;19
"4";3;5;7;8;11;12;15;17;19
"5";3;5;7;8;11;12;15;17;18
"6";3;5;7;8;11;12;15;17;19
"7";3;5;7;8;11;12;15;17;19
"8";3;5;7;8;11;12;14;14;14
"9";3;5;7;8;11;12;15;17;19
"10";3;5;7;8;11;12;15;17;19
"11";3;5;7;8;11;12;14;14;14
"12";3;5;7;8;11;12;14;14;14
"13";3;5;7;8;11;12;14;14;14
"14";3;5;7;8;11;12;15;17;19
"15";3;5;7;8;11;12;15;17;19
"16";3;5;7;8;11;12;15;17;19
"17";3;5;7;8;11;12;15;17;18
"18";0;0;0;0;0;0;0;0;0
"19";3;5;7;8;11;12;15;17;19
"20";3;5;7;8;11;12;15;17;19
"21";3;5;7;8;11;12;15;17;18
"22";3;5;7;8;11;12;15;17;19
"23";3;5;7;8;11;12;15;17;19
"24";3;5;7;8;11;12;14;14;14
"25";3;5;7;8;11;12;15;17;19
"26";3;5;7;8;11;12;15;17;19
"27";3;5;7;8;11;12;14;14;14
"28";3;5;7;8;11;12;15;17;19
"29";3;5;7;8;11;12;15;17;19
"30";3;5;7;8;11;12;15;17;18
"31";3;5;7;8;11;12;14;14;14
"32";3;5;7;8;11;12;14;14;14
"33";3;5;6;6;6;6;6;6;6
"34";3;5;7;8;11;12;14;14;14
"35";3;5;7;8;11;12;15;17;18
"36";3;5;7;8;11;12;15;17;18
"37";3;5;7;8;11;12;14;14;14
"38";3;5;7;9;9;9;9;9;9
"39";3;5;7;8;11;12;14;14;14
"40";3;5;7;8;11;12;15;17;19
"41";3;5;7;8;11;12;15;17;18
"42";3;5;7;8;11;12;15;17;19
"43";3;5;7;8;11;12;15;17;18
"44";3;5;7;8;11;12;15;17;19
"45";3;5;7;8;11;12;14;14;14
"46";3;5;7;8;11;12;15;17;19
"47";3;5;7;8;11;12;14;14;14
"48";3;5;7;8;11;12;15;17;19
"49";3;5;7;8;11;12;15;17;18
"50";3;5;7;8;11;12;15;17;19
"51";3;5;7;8;11;12;15;17;19
"52";3;5;7;8;11;12;15;17;18
"53";3;5;7;8;11;12;15;17;18
"54";3;5;7;8;11;12;15;17;19
"55";3;5;7;8;11;12;15;17;19
"56";3;5;7;8;11;12;14;14;14
"57";3;5;7;8;11;12;14;14;14
"58";3;5;7;8;11;12;14;14;14
"59";3;5;7;8;11;12;14;14;14
"60";3;5;7;8;11;12;15;17;19
"61";3;5;7;8;11;12;14;14;14
"62";3;5;7;8;11;12;15;17;19
"63";3;5;7;8;11;12;15;17;19
"64";3;5;7;8;11;12;14;14;14
"65";3;5;7;8;11;12;14;14;14
"66";3;5;7;8;11;12;15;17;19
"67";0;0;0;0;0;0;0;0;0
"68";3;5;7;8;11;12;15;17;19
"69";3;5;7;8;11;13;13;13;13
"70";3;5;7;8;11;12;15;17;19
"71";3;5;7;8;11;12;14;14;14
"72";3;5;7;8;11;12;15;17;19
"73";3;5;7;8;11;13;13;13;13
"74";0;0;0;0;0;0;0;0;0
"75";3;5;7;8;11;12;15;17;18
"76";3;5;7;8;11;12;15;17;19
"77";3;5;7;8;11;12;15;17;19
"78";3;5;7;8;11;12;15;17;19
"79";3;5;7;8;11;12;15;17;19
"80";3;5;7;8;11;12;14;14;14
"81";3;5;7;8;11;12;14;14;14
"82";3;5;7;8;11;12;15;17;19
"83";3;5;7;8;11;12;14;14;14
"84";3;5;7;8;11;12;15;17;19
"85";3;5;7;8;11;12;14;14;14
"86";3;5;7;8;11;12;15;17;19
"87";3;5;7;8;11;12;15;17;19
"88";3;5;7;8;11;12;14;14;14
"89";3;5;7;8;11;12;15;17;19
"90";3;5;7;8;11;12;14;14;14
"91";3;5;7;8;11;12;14;14;14
"92";3;5;7;8;11;12;15;17;18
"93";3;5;7;8;11;12;15;17;19
"94";3;5;7;8;11;12;14;14;14
"95";3;5;7;8;11;12;15;17;19
"96";3;5;7;8;11;13;13;13;13
"97";3;5;7;8;11;12;14;14;14
"98";3;5;7;8;11;12;15;17;19
"99";3;5;7;8;11;12;15;17;19
"100";3;5;7;8;11;12;14;14;14
"101";3;5;7;8;11;12;15;17;19
"102";0;0;0;0;0;0;0;0;0
"103";3;5;7;8;11;12;15;17;19
"104";3;5;7;8;11;12;14;14;14
"105";3;5;7;8;11;12;14;14;14
"106";3;5;7;8;11;12;15;17;19
"107";3;5;7;8;10;10;10;10;10
"108";3;5;7;8;11;12;15;17;19
"109";3;5;7;8;11;12;15;17;19
"110";3;5;7;8;11;12;15;17;19
"111";3;5;7;8;11;12;15;17;19
"112";3;5;7;8;11;12;14;14;14
"113";3;5;7;8;11;12;15;17;19
"114";3;5;7;8;11;12;15;17;19
"115";3;5;7;8;11;12;15;17;19
"116";3;5;7;8;11;12;15;17;19
"117";3;5;7;8;11;12;15;17;19
"118";3;5;7;8;11;12;14;14;14
"119";3;5;7;8;11;12;14;14;14
"120";3;5;7;8;11;12;15;17;18
"121";0;0;0;0;0;0;0;0;0
"122";3;5;7;8;11;12;15;17;19
"123";3;5;7;8;11;12;15;17;18
"124";3;5;7;8;11;12;15;17;19
"125";3;5;7;8;11;12;15;17;19
"126";0;0;0;0;0;0;0;0;0
"127";3;5;7;8;11;12;14;14;14
"128";3;5;7;8;11;12;15;17;18
"129";3;5;7;8;11;12;15;17;18
"130";3;5;7;8;11;12;15;17;19
"131";3;5;7;8;11;12;14;14;14
"132";3;5;7;8;11;12;15;17;18
"133";0;0;0;0;0;0;0;0;0
"134";3;5;7;8;11;12;14;14;14
"135";3;5;7;8;11;12;14;14;14
"136";3;5;7;8;11;12;15;17;19
"137";3;5;7;8;11;12;15;17;18
"138";0;0;0;0;0;0;0;0;0
"139";3;5;7;8;11;12;15;17;19
"140";3;5;7;8;11;12;14;14;14
"141";0;0;0;0;0;0;0;0;0
"142";3;5;7;8;11;12;15;17;19
"143";3;5;7;8;11;12;15;17;19
"144";3;5;7;8;11;12;15;17;19
"145";3;5;7;8;11;12;15;17;19
"146";3;5;7;8;11;12;15;17;19
"147";3;5;7;8;11;12;14;14;14
"148";3;5;7;8;11;12;14;14;14
"149";3;5;7;8;11;12;14;14;14
"150";3;5;7;8;11;12;15;17;19
