the;245;62;258
and;244;67;259
of;236;59;241
to;216;63;177
a;182;39;111
in;146;29;137
is;161;40;119
as;124;18;63
that;138;22;80
i;98;16;38
for;107;20;67
new;67;29;62
it;88;14;39
with;87;21;60
or;76;7;55
are;68;9;43
on;62;12;38
use;42;10;70
be;61;8;27
not;56;8;33
an;68;11;33
using;53;14;48
we;50;5;9
by;50;7;37
about;44;9;21
but;49;8;26
from;49;8;21
make;44;6;31
can;43;10;19
our;38;9;16
my;40;6;17
this;42;7;16
more;42;9;15
which;32;9;14
me;42;10;20
at;39;3;20
what;38;5;9
through;31;5;28
also;36;3;21
do;34;4;14
how;29;6;15
have;37;7;9
all;29;7;14
these;19;3;21
one;23;5;10
just;25;5;5
into;21;5;13
their;27;2;12
other;30;2;7
its;22;4;12
who;25;1;10
between;24;3;15
us;20;9;6
within;20;4;12
those;25;6;9
they;19;3;10
would;19;2;9
it_s;19;1;9
both;15;2;17
any;14;1;13
so;19;3;6
well;20;5;8
such;22;1;8
has;21;1;5
when;19;3;3
different;21;2;5
if;18;4;4
you;13;0;4
e;17;0;5
some;14;1;6
s;17;2;3
doing;15;2;6
used;17;0;9
see;17;1;3
i_m;14;3;3
don_t;14;0;6
being;18;1;5
where;12;2;8
than;18;1;6
something;17;1;3
etc;16;1;2
will;13;2;4
very;12;2;7
take;11;1;9
may;10;1;9
like;16;1;5
help;11;2;8
them;10;2;6
still;15;1;4
many;17;1;4
know;16;0;1
possible;8;2;8
only;9;2;7
much;12;1;5
most;12;1;6
g;13;0;2
there;14;1;3
own;11;2;4
out;18;1;0
allow;11;3;5
2;10;2;7
old;6;5;5
could;13;1;4
because;12;2;2
1;10;1;5
should;12;1;2
now;12;1;4
been;9;4;1
while;11;2;3
whether;7;0;6
uses;7;0;10
even;14;2;1
am;12;3;0
up;8;0;8
said;10;0;5
need;6;1;3
become;12;0;3
allows;11;1;3
together;11;0;4
better;10;3;2
best;11;1;1
same;9;0;4
might;10;0;2
first;8;2;4
example;12;0;2
available;8;1;4
yet;5;0;5
without;6;2;2
under;9;2;2
rather;6;1;4
must;5;0;3
further;3;0;9
was;8;2;0
try;4;1;2
though;7;0;5
then;7;1;3
others;7;2;3
consider;11;0;1
changes;5;2;3
really;8;0;3
however;5;1;3
done;8;1;1
come;6;0;3
beyond;6;0;4
why;8;1;1
two;6;2;1
towards;2;1;6
self;5;0;5
say;5;1;3
myself;8;0;0
either;4;1;5
around;8;1;1
among;5;0;3
across;8;0;2
able;9;0;1
various;3;1;5
seeing;5;1;2
particular;3;0;1
name;5;1;2
looking;3;1;4
least;7;1;1
happens;7;1;1
each;6;0;1
cannot;6;0;2
believe;6;0;3
were;5;0;1
want;6;1;1
useful;6;1;0
themselves;4;1;1
seems;5;1;2
re;1;2;4
otherwise;3;0;5
no;6;1;0
itself;4;1;3
i_ll;6;0;0
get;6;0;0
anyone;6;0;2
3;5;1;2
that_s;3;0;2
since;4;2;1
over;7;0;0
novel;4;1;2
needs;4;1;2
less;4;0;2
last;6;0;1
every;4;1;2
ever;4;0;3
else;5;0;1
does;6;0;0
did;3;1;0
before;4;1;1
associated;1;0;5
anything;3;1;1
always;5;0;1
whatever;2;3;1
trying;4;0;2
non;3;0;2
i_ve;3;3;0
having;5;1;0
few;2;1;1
especially;4;0;1
down;4;1;1
course;2;0;2
your;3;1;1
too;1;2;2
thus;2;2;1
someone;3;0;1
quite;3;1;1
perhaps;4;1;0
once;4;0;1
merely;3;1;1
instead;1;2;2
gives;4;1;0
given;4;0;1
everyone;3;0;1
et;3;0;1
doesn_t;3;2;0
d;2;1;0
asking;1;1;3
another;3;0;2
although;5;0;0
01;2;1;0
we_re;2;1;1
via;3;0;1
upon;2;0;2
therefore;1;1;2
sometimes;4;0;0
seem;4;0;0
probably;3;0;1
plus;3;0;0
maybe;3;1;0
little;2;0;1
going;4;0;0
far;0;3;1
currently;4;0;0
considering;2;1;1
co;3;0;1
again;3;1;0
actually;3;0;1
2009;3;1;0
0;2;0;2
whole;2;0;1
welcome;2;0;1
truly;2;0;1
toward;1;0;2
soon;2;0;1
second;1;0;2
particularly;2;0;1
outside;2;0;1
ones;1;0;2
look;3;0;0
let;1;1;1
latter;2;0;1
isn_t;3;0;0
everything;2;0;1
entirely;3;0;0
enough;2;0;1
couldn_t;2;0;1
comes;2;0;1
com;0;3;0
certain;3;0;0
apart;2;0;1
already;3;0;0
almost;3;0;0
above;1;0;2
