"";"V1"
"1";2
"2";3
"3";3
"4";3
"5";2
"6";3
"7";3
"8";1
"9";3
"10";3
"11";1
"12";1
"13";1
"14";3
"15";3
"16";3
"17";2
"18";0
"19";3
"20";3
"21";2
"22";3
"23";3
"24";1
"25";3
"26";3
"27";1
"28";3
"29";3
"30";2
"31";1
"32";1
"33";0
"34";1
"35";2
"36";2
"37";1
"38";0
"39";1
"40";3
"41";2
"42";3
"43";2
"44";3
"45";1
"46";3
"47";1
"48";3
"49";2
"50";3
"51";3
"52";2
"53";2
"54";3
"55";3
"56";1
"57";1
"58";1
"59";1
"60";3
"61";1
"62";3
"63";3
"64";1
"65";1
"66";3
"67";0
"68";3
"69";0
"70";3
"71";1
"72";3
"73";0
"74";0
"75";2
"76";3
"77";3
"78";3
"79";3
"80";1
"81";1
"82";3
"83";1
"84";3
"85";1
"86";3
"87";3
"88";1
"89";3
"90";1
"91";1
"92";2
"93";3
"94";1
"95";3
"96";0
"97";1
"98";3
"99";3
"100";1
"101";3
"102";0
"103";3
"104";1
"105";1
"106";3
"107";0
"108";3
"109";3
"110";3
"111";3
"112";1
"113";3
"114";3
"115";3
"116";3
"117";3
"118";1
"119";1
"120";2
"121";0
"122";3
"123";2
"124";3
"125";3
"126";0
"127";1
"128";2
"129";2
"130";3
"131";1
"132";2
"133";0
"134";1
"135";1
"136";3
"137";2
"138";0
"139";3
"140";1
"141";0
"142";3
"143";3
"144";3
"145";3
"146";3
"147";1
"148";1
"149";1
"150";3
"151";3
"152";3
"153";3
"154";1
"155";2
"156";3
"157";0
"158";3
"159";2
"160";3
"161";2
"162";1
"163";1
"164";3
"165";3
"166";1
"167";1
"168";1
"169";3
"170";3
"171";3
"172";3
"173";3
"174";1
"175";1
"176";3
"177";3
"178";1
"179";3
"180";3
"181";3
"182";3
"183";3
"184";3
"185";1
"186";2
"187";3
"188";3
"189";2
"190";2
"191";3
"192";3
"193";1
"194";0
"195";3
"196";3
"197";3
"198";3
"199";3
"200";1
"201";1
"202";3
"203";2
"204";1
"205";3
"206";1
"207";3
"208";1
"209";3
"210";3
"211";0
"212";2
"213";3
"214";3
"215";1
"216";3
"217";3
"218";3
"219";1
"220";2
"221";3
"222";3
"223";3
"224";1
"225";3
"226";1
"227";3
"228";1
"229";3
"230";3
"231";3
"232";1
"233";1
"234";3
"235";2
"236";3
"237";3
"238";1
"239";3
"240";1
"241";1
"242";2
"243";2
"244";3
"245";1
"246";0
"247";3
"248";0
"249";1
"250";0
"251";3
"252";1
"253";3
"254";3
"255";1
"256";1
"257";1
"258";3
"259";3
"260";1
"261";2
"262";1
"263";1
"264";3
"265";1
"266";3
"267";3
"268";2
"269";1
"270";1
"271";1
"272";1
"273";1
"274";2
"275";1
"276";1
"277";1
"278";3
"279";3
"280";1
"281";3
"282";1
"283";1
"284";3
"285";1
"286";1
"287";1
"288";1
"289";1
"290";1
"291";1
"292";1
"293";3
"294";1
"295";3
"296";3
"297";2
"298";3
"299";1
"300";0
"301";1
"302";1
"303";3
"304";0
"305";3
"306";0
"307";3
"308";2
"309";3
"310";1
"311";0
"312";1
"313";1
"314";2
"315";1
"316";1
"317";1
"318";3
"319";3
"320";3
"321";3
"322";1
"323";1
"324";3
"325";1
"326";1
"327";2
"328";1
"329";1
"330";1
"331";1
"332";1
"333";1
"334";1
"335";3
"336";3
"337";1
"338";3
"339";3
"340";1
"341";1
"342";3
"343";2
"344";1
"345";1
"346";3
"347";3
"348";2
"349";3
"350";1
"351";1
"352";0
"353";1
"354";1
"355";1
"356";3
"357";3
"358";1
"359";3
"360";3
"361";3
"362";0
"363";1
"364";1
"365";2
"366";0
"367";3
"368";1
"369";1
"370";3
"371";1
"372";3
"373";1
"374";3
"375";2
"376";3
"377";3
"378";3
"379";1
"380";2
"381";3
"382";1
"383";3
"384";3
"385";3
"386";1
"387";1
"388";1
"389";2
"390";0
"391";1
"392";1
"393";1
"394";3
"395";3
"396";1
"397";3
"398";1
"399";3
"400";1
"401";0
"402";1
"403";3
"404";1
"405";3
"406";1
"407";3
"408";1
"409";1
"410";1
"411";3
"412";3
"413";3
"414";1
"415";2
"416";2
"417";3
"418";3
"419";1
"420";1
"421";3
"422";1
"423";1
"424";3
"425";3
"426";3
"427";3
"428";0
"429";3
"430";1
"431";1
"432";0
"433";3
"434";0
"435";3
"436";3
"437";1
"438";1
"439";1
"440";3
"441";2
"442";3
"443";3
"444";1
"445";3
"446";0
"447";1
"448";1
"449";3
"450";3
"451";3
"452";3
"453";1
"454";3
"455";2
"456";1
"457";0
"458";3
"459";1
"460";3
"461";1
"462";3
"463";3
"464";1
"465";3
"466";0
"467";3
"468";1
"469";3
"470";1
"471";1
"472";1
"473";3
"474";3
"475";3
"476";1
"477";1
"478";0
"479";3
"480";1
"481";1
"482";1
"483";3
"484";3
"485";1
"486";1
"487";1
"488";1
"489";1
"490";3
"491";1
"492";1
"493";3
"494";0
"495";1
"496";1
"497";3
"498";1
"499";1
"500";1
"501";3
"502";1
"503";3
"504";1
"505";1
"506";1
"507";1
"508";1
"509";3
"510";3
"511";3
"512";1
"513";2
"514";3
"515";3
"516";1
"517";3
"518";3
"519";1
"520";1
"521";1
"522";3
"523";1
"524";2
"525";1
"526";2
"527";3
"528";3
"529";1
"530";3
"531";3
"532";1
"533";1
"534";2
"535";3
"536";3
"537";3
"538";3
"539";0
"540";3
"541";3
"542";1
"543";1
"544";3
"545";1
"546";3
"547";1
"548";1
"549";1
"550";3
"551";3
"552";1
"553";1
"554";3
"555";1
"556";3
"557";2
"558";3
"559";3
"560";3
"561";1
"562";3
"563";2
"564";1
"565";1
"566";2
"567";3
"568";3
"569";3
"570";3
"571";3
"572";1
"573";2
"574";1
"575";1
"576";1
"577";3
"578";0
"579";3
"580";3
"581";2
"582";1
"583";1
"584";3
"585";3
"586";3
"587";2
"588";0
"589";1
"590";3
"591";3
"592";3
"593";0
"594";1
"595";1
"596";3
"597";1
"598";0
"599";1
"600";3
"601";3
"602";2
"603";2
"604";3
"605";1
"606";3
"607";3
"608";3
"609";1
"610";3
"611";1
"612";2
"613";3
"614";3
"615";1
"616";3
"617";1
"618";1
"619";1
"620";1
"621";1
"622";3
"623";1
"624";1
"625";3
"626";3
"627";3
"628";2
"629";1
"630";3
"631";1
"632";1
"633";1
"634";2
"635";3
"636";1
"637";3
"638";3
"639";3
"640";1
"641";3
"642";1
"643";1
"644";3
"645";3
"646";1
"647";3
"648";1
"649";1
"650";3
"651";0
"652";3
"653";1
"654";1
"655";1
"656";3
"657";0
"658";2
"659";3
"660";3
"661";1
"662";1
"663";3
"664";1
"665";1
"666";3
"667";1
"668";1
"669";1
"670";1
"671";0
"672";2
"673";1
"674";3
"675";1
"676";1
"677";3
"678";2
"679";1
"680";1
"681";3
"682";1
"683";3
"684";3
"685";0
"686";0
"687";3
"688";2
"689";1
"690";1
"691";2
"692";1
"693";2
"694";3
"695";3
"696";1
"697";3
"698";3
"699";1
"700";1
"701";3
"702";1
"703";3
"704";1
"705";3
"706";1
"707";1
"708";1
"709";1
"710";3
"711";2
"712";1
"713";0
"714";0
"715";1
"716";3
"717";1
"718";1
"719";1
"720";2
"721";1
"722";1
"723";1
"724";3
"725";0
"726";1
"727";0
"728";1
"729";2
"730";1
"731";2
"732";3
"733";3
"734";3
"735";1
"736";3
"737";2
"738";1
"739";2
"740";1
"741";2
"742";3
"743";2
"744";1
"745";2
"746";3
"747";3
"748";1
"749";1
"750";2
"751";3
"752";1
"753";3
"754";1
"755";3
"756";0
"757";0
