"";"";"";"";"when";""
"1";"when";"0.85325670989979";"-1.34200879524944";"1.13707381768778";"79"
"2";"together";"0.625547330413756";"-1.18775587617576";"1.06718962282461";"102"
"3";"them";"0.199719117767684";"-0.620733029077524";"1.06718962282461";"103"
"4";"especially";"0.613109015895225";"-0.502825336375622";"1.05160445105777";"110"
"5";"something";"1.21870067201519";"-1.46577970523786";"1.02420586142201";"125"
"6";"doesn_t";"0.471325660695765";"-0.164216358246385";"1.01701817946561";"131"
"7";"under";"0.812226913359698";"-0.694169988117429";"1.00303422397619";"141"
"8";"some";"0.612425440115597";"-0.4078660578495";"1.00278514588859";"142"
"9";"not";"0.242218294817385";"-0.444627094249201";"1.00267839813677";"143"
"10";"we_re";"0.511518139337091";"-0.503750956624579";"0.999902956589248";"150"
"11";"want";"1.27867536359425";"-1.41851399675785";"0.999760626253478";"153"
"12";"can";"0.302965104536097";"-0.357692658615108";"0.997554506049039";"154"
"13";"our";"0.293285471737294";"-0.513783939066737";"0.997412175713269";"155"
"14";"done";"1.1619863299683";"-1.50563561403769";"0.996522611114705";"156"
"15";"because";"0.898304857218642";"-0.11291954043796";"0.994031830238727";"158"
"16";"else";"1.00653112593628";"-1.39610045022359";"0.986381574691078";"161"
"17";"01";"0.736169701816043";"-0.735312119432548";"0.97342951413599";"167"
"18";"has";"1.21251959049309";"-0.234803053670284";"0.96951542990231";"169"
"19";"they";"0.46386848612852";"-0.619464520842761";"0.958982985055315";"175"
"20";"why";"0.871778213799649";"-0.111404048998033";"0.957951090120981";"177"
"21";"seeing";"-0.0654030531147941";"-0.264347095086806";"0.957951090120981";"178"
"22";"cannot";"0.870938948842142";"-0.356412121695771";"0.957951090120981";"179"
"23";"since";"0.589028141206641";"-0.422671321315512";"0.957879924953096";"180"
"24";"with";"-0.00991632800326814";"-0.187136890260205";"0.947667723361584";"185"
"25";"used";"0.603602383484906";"-0.227955657315255";"0.946600245843307";"186"
"26";"itself";"0.401054698531984";"-0.51716631474444";"0.940551206573074";"191"
"27";"which";"0.103892971082922";"-0.119403999820702";"0.937669017273727";"194"
"28";"name";"0.54269812368732";"-1.13056906977286";"0.926923076923077";"200"
"29";"however";"0.0961517428931439";"-0.301097537134831";"0.925962347156628";"202"
"30";"maybe";"0.439699436626445";"-0.710679520687283";"0.909914601798538";"209"
"31";"must";"0.499629888588315";"0.149027166288891";"0.906890082163421";"212"
"32";"around";"0.896778280399561";"-0.979702056547363";"0.906890082163421";"213"
"33";"while";"0.733609446845417";"-0.509216885003965";"0.902477841754545";"217"
"34";"need";"0.689394720464528";"-0.207831265202522";"0.89877725302452";"219"
"35";"another";"0.207844622999006";"-0.491404709704713";"0.887995730089927";"224"
"36";"come";"0.925614273980505";"0.0277253311956593";"0.886252183476742";"225"
"37";"seems";"0.397535870210392";"-0.287969703557251";"0.886252183476742";"226"
"38";"happens";"1.06339951665976";"0.286116946384927";"0.886252183476742";"228"
"39";"make";"-0.123827561618275";"-0.309050337931675";"0.884757714951155";"230"
"40";"everything";"0.460913457843904";"0.265701043135106";"0.883263246425568";"234"
"41";"available";"-0.0278584882690979";"-0.755038582926883";"0.881306204308728";"236"
"42";"beyond";"0.428967114063299";"0.315335706725589";"0.876751633564081";"239"
"43";"that_s";"0.693253150153858";"-0.886499993140556";"0.876360225140713";"240"
"44";"upon";"0.124367453339659";"-0.176016163170997";"0.876360225140713";"243"
"45";"same";"0.852996380288477";"-0.15537122658675";"0.875648573461862";"246"
"46";"allow";"0.152018130214541";"-0.215105947741029";"0.871876819563952";"248"
"47";"probably";"0.557194566221187";"-0.307928390859733";"0.868994630264605";"249"
"48";"most";"0.461791109655813";"-0.0763153253780254";"0.859565245519829";"251"
"49";"just";"0.639032283541267";"-0.299848036252915";"0.855366500614608";"252"
"50";"one";"0.386254460063909";"-0.39955930447604";"0.852270815811606";"254"
"51";"themselves";"0.503022581227189";"-0.080810056892125";"0.820958141942162";"259"
"52";"needs";"0.0775229896401195";"-0.982200642964657";"0.809856375752086";"260"
"53";"where";"-0.237644843409104";"-0.282963040866545";"0.8";"261"
