"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Coord. facteur 7";"Coord. facteur 8";"Coord. facteur 9";"Coord. facteur 10";"Coord. facteur 11";"Coord. facteur 12";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"Corr. facteur 7";"Corr. facteur 8";"Corr. facteur 9";"Corr. facteur 10";"Corr. facteur 11";"Corr. facteur 12";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"COR -facteur 7";"COR -facteur 8";"COR -facteur 9";"COR -facteur 10";"COR -facteur 11";"COR -facteur 12";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"CTR -facteur 7";"CTR -facteur 8";"CTR -facteur 9";"CTR -facteur 10";"CTR -facteur 11";"CTR -facteur 12";"mass";"chi.distance";"inertie"
"classe 1";-1,20070414861565;0,429199493880729;-0,412238924668324;0,423020080356708;-0,616823993868564;-2,08332554638432;2,54560403247486;0,0909365920347476;2,11722364118921;0,391941167920427;1,03372849106125;0,274592495136565;-0,275720844578875;0,0985582061010274;-0,0946635060842296;0,0971392111572609;-0,141642912404391;-0,478399512356231;0,584553734245512;0,0208820082681093;0,486183620822912;0,0900024789360854;0,237377786150958;0,0630553952539974;0,128986443586046;0,0142408805857491;0,0110184141279816;0,0109459872965176;0,0216156710252355;0,22988249028758;0,321329695769058;0,000408414475155068;0,208166922330344;0,00665558210723904;0,0440585977300023;0,00269090067909151;0,0722140545615754;0,00922716123923778;0,00851231527754004;0,00896337722593307;0,0190577763227467;0,217402225760223;0,324587213725058;0,000414216177203367;0,224534549896393;0,00769469610101408;0,0535257399574766;0,00377682649594057;0,0500898472596586;1,51359991578826;0,114755073951381
"classe 2";0,533117559373012;-0,721723423112263;-0,38122401310558;-0,81122751968969;-2,63972618443309;-0,198625609626773;0,2555737310067;0,295713310367901;-0,988079695882882;0,0902798091659936;-0,548157637499853;0,144244642262749;0,167961019514309;-0,227382122051764;-0,120106293215805;-0,255580779266379;-0,831657283428139;-0,0625778673165436;0,0805196221100764;0,0931657722018343;-0,311298831119083;0,0284430488594504;-0,172699461929768;0,0454449056272346;0,0438628256409591;0,0694606155992933;0,0162539972042648;0,06943795274757;0,682877101018042;0,00360446394524427;0,00558701932317866;0,00744979132900242;0,0782061284500041;0,000609121782553488;0,0213701328545584;0,00128085010532459;0,025663558290422;0,0470340631595891;0,0131229476108863;0,0594232290337283;0,629199919175704;0,00356238934982975;0,00589798038100527;0,00789610006634197;0,088156603130556;0,000735956528550177;0,0271320017544625;0,00187875556204996;0,0902964959568733;1,15244923094553;0,119926318603458
"classe 3";1,23541863912821;1,2448069641726;0,282374886169179;-1,71543594036087;0,884213151915844;-0,454264704857182;0,24380341147127;0,371735467313316;-0,0915085947583281;-0,159975256417158;0,0407308474650492;-0,181711936271128;0,455606721098554;0,459069016270899;0,104136275699144;-0,632631012102869;0,326086592947046;-0,167527060168714;0,0899116051636156;0,137091324361249;-0,033747208832464;-0,0589968450569552;0,0150210198173888;-0,0670130568269386;0,268075504084576;0,235168553291571;0,0101491582025091;0,353377398278493;0,0872000895985697;0,0214568709923805;0,0057863607373305;0,0133982649559764;0,000763411698335479;0,00217674069660973;0,00013428310571888;0,00231336435793213;0,182726002024164;0,18551373618644;0,00954606068928958;0,352306830211542;0,09360218657798;0,024705294916464;0,00711625676913763;0,0165439821051348;0,00100252641812785;0,00306392184654917;0,000198618156215824;0,00395311060389791;0,119721473495058;1,08027096057604;0,139713205441296
"classe 4";0,881119330870324;1,21745883530254;0,467721776340091;1,64086398438938;-0,551075937770619;0,321677632736419;-0,373961102486757;-0,583848187918303;0,00470728449491541;0,0261842631339811;0,353162651299979;-0,0578504797726332;0,354253624951315;0,489478769247889;0,188047326771827;0,659708616252733;-0,221559829343272;0,129330345470999;-0,150350890628934;-0,234735897562273;0,00189256158340524;0,010527371046019;0,141988882818924;-0,0232587589973601;0,167488936823065;0,276294115183393;0,0342011650123988;0,397120913973092;0,0416019532602786;0,01321532851519;0,0167211693816623;0,0405946004687101;2,48121138993226e-06;7,16258213259191e-05;0,0123997193649498;0,000287990984544888;0,108032795374455;0,206250365386123;0,0304411696785403;0,374654816746946;0,0422580109957459;0,0143988525112535;0,0194598289250319;0,0474335935980982;3,08337998030234e-06;9,54040625384533e-05;0,0173554425427373;0,000465693402324309;0,139150943396226;0,974739991080084;0,132209823024616
"classe 5";0,981991462571376;-1,19145899772474;0,354675416728454;1,25857933209352;0,618825685839939;1,73758740802897;1,07090275617629;3,72482548669821;1,02921704063382;-0,566835601591863;-0,751853106725204;0,2236277285741;0,198340050096246;-0,240647751333349;0,071636406835579;0,254204539746072;0,12498878270178;0,3509533297292;0,216298119081431;0,752330444601802;0,207878548011698;-0,114487962371561;-0,151857310920416;0,0451677398214374;0,0657067518592093;0,0835793854877194;0,00621163319420377;0,0737932593291404;0,0165693471197731;0,121788831699414;0,043310356995131;0,521864994445805;0,037464049346748;0,0106018351773664;0,0177503215150553;0,00135923383043254;0,0377968580598059;0,0556414550311633;0,00493063042225901;0,0620871131373952;0,0150098702919912;0,118340553704935;0,0449511025271678;0,543816194105846;0,0415197004873238;0,0125937339546239;0,0221567609881208;0,00196016026331275;0,0391958670260557;1,73440225937033;0,11790709432399
"classe 6";-0,78701010164228;0,572045968304367;-0,761598598326179;-0,342094784270404;0,204836774248211;0,906699020418623;-0,473405158241088;-0,599926173992556;1,19731840441995;1,53910895276437;-2,28709128920971;0,514287426298373;-0,223590773304192;0,162519134318374;-0,21637132635502;-0,097189651312909;0,0581944407825541;0,25759457814647;-0,134495129346421;-0,170439943386382;0,340159989531215;0,43726320695234;-0,649766132486207;0,146109844215116;0,0931972912530387;0,0425452353924489;0,0632475927417264;0,01203916894026;0,00400896892818067;0,0732299162949304;0,0186898477658502;0,0298944128213492;0,111961368612155;0,17260510634429;0,362706491136528;0,0158745997692429;0,0462590923807109;0,0244398396509919;0,0433200317392909;0,00874036158441535;0,00313366343397734;0,0613992105303999;0,0167379576774218;0,0268801763780879;0,107067043512941;0,176919304249643;0,39066409095283;0,0197536933180955;0,074685534591195;1,16714759584989;0,101739137969597
"classe 7";-0,788217533976177;-0,160279979025505;-0,752596765617903;-0,922232392098486;-0,190741299071584;1,7606054843417;-0,780882998040904;0,0802856706961986;0,476776909573117;0,286097805381715;2,41484243776796;0,419383116527423;-0,226290637493218;-0,0460150365446925;-0,216064213907929;-0,264765178303137;-0,0547602258293556;0,505455055555487;-0,224184953794281;0,0230493421172262;0,136878648544004;0,0821362783426682;0,693280993042083;0,12040137233962;0,0920395301713367;0,00328841908511762;0,0608073331827989;0,0861437713261128;0,00342251878193101;0,27184783521909;0,0500669643808489;0,000527120638431195;0,0174790910319613;0,00587196552722532;0,398112176323252;0,0103932743318904;0,0473082328423355;0,00195615424490233;0,0431289850086885;0,0647627507473273;0,00277034600969087;0,236030780915653;0,0464319022905098;0,000490818158937092;0,0173091192922752;0,00623266228409597;0,444040048460037;0,0133926471849007;0,0761455525606469;1,17626727051396;0,105355343773657
"classe 8";0,596306867947282;-1,32894100955649;-0,721166976677934;0,400657673773272;1,25065700749452;0,632956064172804;1,75078214205197;-1,43332449338881;-1,2602905631887;0,615811244502147;0,118795782396879;-0,410154826083282;0,171877029418353;-0,383048469290799;-0,207866191601496;0,115483913540814;0,360484211777366;0,182440642410934;0,504638215505505;-0,413135533662869;-0,363260948092932;0,177498890381396;0,0342412058007853;-0,118221333508149;0,0473272606073107;0,203109177674316;0,0501640347121754;0,0146076246808248;0,13219722664749;0,0315673730882256;0,226116928324537;0,150942841217609;0,109728468862016;0,0244421389477702;0,000865604371389757;0,00893132086633235;0,0272756541509242;0,135471194216054;0,039893966198932;0,0123135274450785;0,119980866477975;0,0307314238516673;0,235125519811083;0,157588527357017;0,121836361568001;0,0290891332983107;0,00108252415724851;0,0129042035341953;0,076707097933513;1,24096989404135;0,118129412378404
"classe 9";0,978726619980513;-1,81002730175613;-0,287727641780164;0,169812290808976;0,486999488734605;-1,38502403742133;-1,6679766693708;-0,461460276232151;1,18007345882384;-0,358216552722384;0,0773494710864115;0,0963179256777787;0,294663106099054;-0,544941003924232;-0,0866255386403889;0,0511250190217212;0,146619882497982;-0,416986190583586;-0,50217412734451;-0,138930847041435;0,355282163275595;-0,107847482561959;0,0232874379220367;0,0289982295094796;0,125947109573223;0,372204870059069;0,00788819482152513;0,00259217651763067;0,0198014307907042;0,149313678028292;0,202741410345628;0,015455596754159;0,0950363383139526;0,00817012946698827;0,000362514808895343;0,000486550519931622;0,0796103200277712;0,272280675707086;0,0068803374803276;0,00239654070544094;0,0197107694856859;0,1594267489144;0,23122059360718;0,0176976341015035;0,115734983432519;0,0106644354219214;0,000497234512717569;0,000771011419259196;0,0831087151841869;1,24857437104901;0,129561330910817
"classe 10";-1,15577202612711;0,496875897879759;-1,03443760466503;0,494745747239627;0,67305377324197;-0,588696359344756;-0,286740882335281;0,305512805976255;-1,32883159247261;-1,65166097667182;-0,366764749853707;1,79923631580627;-0,337342822224005;0,145026453224964;-0,301928142474321;0,144404712074927;0,196448654441643;-0,171826698349694;-0,0836929570082422;0,0891720424649473;-0,387854861972433;-0,482081208605452;-0,107050052268979;0,525154998478271;0,20019014639294;0,031969849917457;0,116213342262873;0,0250797617183781;0,0431094045466028;0,0307468485027556;0,0068292764024241;0,00772162859771964;0,137354987869347;0,197975929228882;0,0092900738978498;0,193518750662771;0,104866405490588;0,0193815223346561;0,084004127291514;0,0192156979709991;0,0355624400034818;0,0272066283749476;0,00645462861501442;0,00732741623497573;0,138621921316953;0,214157772160882;0,0105600798329898;0,254137317246314;0,0785040431266846;1,16949386569166;0,107371228147059
