"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,204971857103261;13,3891837286563;13,3891837286563
"facteur 2";0,177109000523483;11,5691245691986;24,9583082978549
"facteur 3";0,148539954977898;9,70293569250087;34,6612439903558
"facteur 4";0,140137757233797;9,1540868363206;43,8153308266764
"facteur 5";0,130157258905856;8,50214013639371;52,3174709630701
"facteur 6";0,121342741919184;7,92635773835236;60,2438287014225
"facteur 7";0,113603405930794;7,42080837684095;67,6646370782634
"facteur 8";0,113147761672823;7,39104475577074;75,0556818340342
"facteur 9";0,106389910048466;6,94960797372542;82,0052898077596
"facteur 10";0,0992582172030226;6,4837511134059;88,4890409211655
"facteur 11";0,0944582484000644;6,17020726839772;94,6592481895632
"facteur 12";0,0817603103443776;5,34075181043678;100
