"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Coord. facteur 7";"Coord. facteur 8";"Coord. facteur 9";"Coord. facteur 10";"Coord. facteur 11";"Coord. facteur 12";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"Corr. facteur 7";"Corr. facteur 8";"Corr. facteur 9";"Corr. facteur 10";"Corr. facteur 11";"Corr. facteur 12";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"COR -facteur 7";"COR -facteur 8";"COR -facteur 9";"COR -facteur 10";"COR -facteur 11";"COR -facteur 12";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"CTR -facteur 7";"CTR -facteur 8";"CTR -facteur 9";"CTR -facteur 10";"CTR -facteur 11";"CTR -facteur 12";"mass";"chi.distance";"inertie"
"humanity";-0,728732837436556;0,124585120217171;-0,368638629694273;0,094672424624728;0,135955107187588;-0,0302706459099726;-0,0270450763441171;0,22241964470372;-0,0145929427235896;-0,222049150984041;0,0636208221150209;-0,564355764112867;-0,684596942788412;0,117039589868938;-0,346311934796516;0,0889385644984027;0,127720950608592;-0,0284372963335853;-0,0254070842310213;0,208948740825074;-0,013709117335783;-0,208600686154302;0,0597676104055358;-0,530175409846717;0,630731430982731;0,015928927719601;0,116965702136901;0,00727806149186967;0,0139403284137869;0,000644274197004379;0,000481483416717289;0,0324343956780685;0,000131280358993706;0,0283581739770631;0,00221539922623155;0,150890542401018;0,0296420282495611;0,000866370365366681;0,00758530282272317;0,00050028587019423;0,0010317210480327;5,11463461244439e-05;4,08270180555012e-05;0,00276132498652451;1,18865820681695e-05;0,00275213333894975;0,000225927861216958;0,0177777652693449;0,0558176100628931;0,415425566642631;0,0096329139157586
"digital";-0,510477332911179;-0,00300713526023745;-0,168924841519401;0,066738583579726;-0,02830449698777;0,0357039904310054;-0,232525150882208;0,244730108733432;-0,0405653265991208;-0,108729979032819;0,212402015177902;-0,76452835669285;-0,497533589167531;-0,00293088586442388;-0,164641556602333;0,0650463495313626;-0,02758680369919;0,0347986744199514;-0,226629206492653;0,238524693508165;-0,0395367457816689;-0,105973004540284;0,207016316190214;-0,74514285513228;0,427801644063578;1,28274947737425e-05;0,0339488929198101;0,00499924500482549;0,000835169382259414;0,00123891812698448;0,0491956281254489;0,0542770282676332;0,00140218618425568;0,00939853941784364;0,0341312694785355;0,38275865153407;0,0136673606427812;4,74283105914274e-07;0,00149664489807499;0,000233606917941657;4,201869999149e-05;6,68598263218385e-05;0,00283577388648186;0,00314127917771299;8,63061379399808e-05;0,000620055176887112;0,00236618662355267;0,0306562427025548;0,0524483378256963;0,353347770910286;0,00654841871583493
"technology";-0,881782969906533;0,221798228819958;-0,199162829917997;0,344128846092066;0,14589174058713;-0,531272071435491;0,15515004071849;0,304637853065314;-0,47667565738992;-0,711318498258609;-0,0308418895007018;1,25159787252751;-0,458053409709547;0,115215918707626;-0,103457672063015;0,17876211801708;0,0757853253068369;-0,275976053189455;0,0805946673876137;0,158248018033229;-0,247615249607436;-0,369503465860048;-0,0160212128492105;0,650158477382713;0,359442651509242;0,0196502798216459;0,0132883734407607;0,0374290908857359;0,0062480107021571;0,0772431072271921;0,00616747076229496;0,0236823970743702;0,0545203141363761;0,113267844463202;0,00020264402409238;0,288857815952914;0,0186875357241327;0,00118234649840986;0,000953334256927479;0,00284623515504364;0,000511552290421165;0,00678363690160541;0,000578538692596483;0,00223046983438143;0,0054610301013585;0,0121606510867571;2,28618081386264e-05;0,037649416912207;0,0240341419586703;0,665877009290086;0,0106565508739036
"research";-1,23942350801296;0,210123546451612;-0,895010222216951;0,15021426269134;0,175861256291664;0,0233280599637807;-0,196250327714933;0,40264691362356;-0,0616705458614732;-0,564772466859569;-0,330288551220854;-0,735741754165611;-0,65239883473577;0,110603321600179;-0,471109045678064;0,0790687035601219;0,0925685836504649;0,0122792564757918;-0,103300836469528;0,211942387375808;-0,0324616985214737;-0,297280870411067;-0,173854912828391;-0,387274454599967;0,564004510384682;0,0140068010316837;0,213131755440087;0,00566404097588877;0,0072103711323217;0,000118282346927117;0,00783720156046347;0,0328581871488122;0,000724777845368897;0,0567103576272263;0,0184576246850634;0,0792760898214788;0,0346777063202205;0,000996690572714958;0,0180828507269138;0,000509369863869773;0,000698154029016276;1,22848017426351e-05;0,000869424125872857;0,00365981940107438;8,58551776277253e-05;0,00720042181085482;0,00246262308407253;0,0122197328945823;0,0225741239892183;0,747180550660106;0,0126026542938267
"tool";-0,84879571093272;0,0111035212513249;-0,133402084174966;-0,141543141203578;-0,187944687406804;0,144417210467328;-0,638569922393166;0,299913629668998;-0,166148851985126;0,292612351190663;0,197630133597523;-2,13875373826522;-0,345402675823203;0,00451838516838525;-0,0542856617215844;-0,0575985235156456;-0,0764808270128161;0,058768076096336;-0,259854941600073;0,122044643804441;-0,0676113902573251;0,119073515309251;0,0804221511591644;-0,870328695831782;0,24372709687601;3,60383845582467e-05;0,00436286469227628;0,00463378680474174;0,00758807699345698;0,00417690824413246;0,0764559865189293;0,0167973820245661;0,00484728280145505;0,0140266837332573;0,00608904863867867;0,617258844287947;0,0143216965549087;2,45080959115188e-06;0,000353763762692471;0,000398259160540696;0,000702179624643542;0,000414596869969912;0,00810597075516428;0,00178805354798273;0,000548760451463121;0,00170205434504392;0,000776415940916683;0,0909305207626896;0,0198787061994609;0,778392040901497;0,0120443921802524
"dh";0,0738519386535051;-1,02285637975296;-0,0806301254312419;0,158457955048115;0,228642376967114;0,306338540059285;-0,0703148555954935;0,363302877667632;-0,0433867478168391;0,150353086125882;-0,0343884519049362;0,514158100560357;0,0573827746931662;-0,794756891328351;-0,0626494091483554;0,12312144134126;0,17765456455206;0,238024292179108;-0,0546344698566315;0,282285442395644;-0,0337113963429414;0,116823978122804;-0,0267197425509165;0,399499579551267;0,00449409522083283;0,744893496057767;0,00388205954265605;0,0141451478138188;0,027353070205269;0,0457763661564812;0,00225792630940602;0,0600354646502501;0,000805079689144622;0,00902018401889945;0,000449044490181133;0,0868880658452962;9,61697089322024e-05;0,0184477675489004;0,000114632871624896;0,000442733714322862;0,000921781428300984;0,00165469432577804;8,71783569220768e-05;0,00232729896728307;3,31916388276228e-05;0,000398601744125066;2,08516175913796e-05;0,00466130870646653;0,0176325247079964;0,4987557128744;0,00438621855307744
"study";-0,104387936585413;0,685793583235003;-0,60896920704284;0,608839299320033;-0,0790059252650136;-0,116124607782148;-0,308101603617804;0,0791449769543102;-0,224584946934299;-0,358624885112813;-0,589616179354489;-0,442952929066583;-0,0726149831374559;0,477055980904829;-0,423614932406137;0,423524565191211;-0,0549585911795842;-0,0807793190647541;-0,214323546217661;0,0550553191771268;-0,156227172104478;-0,249468864286163;-0,410152459392328;-0,308129660638884;0,00816605876241011;0,304540534300292;0,201396348518795;0,189923260051941;0,00297033450139109;0,00598246219985988;0,0394272882773031;0,00259125599355809;0,0196191129725389;0,0466729179447248;0,120059439389106;0,0586509870880857;0,000154200584498493;0,00665537036046657;0,00524778530839225;0,00524554659051664;8,83292862308621e-05;0,00019082440376261;0,00134330091724334;8,8640481751391e-05;0,000713750920605877;0,00181997841823837;0,00491953640032903;0,00277651835899055;0,0141509433962264;0,522987345632862;0,00387050608998264
"method";-0,999656757196594;0,031495328875658;-0,574954258620988;0,196539053490087;0,366554856662158;0,138657421661783;-0,639215517733949;0,590698417060287;-0,367235669363716;0,299782000720568;1,00516246700266;-1,52910012461916;-0,413171439452288;0,0130174385096661;-0,237636245584782;0,0812322060092067;0,151501999736442;0,0573089573859353;-0,264196279053847;0,244143515763771;-0,151783388685074;0,123903889878118;0,415447022575596;-0,631997428124547;0,303402204149488;0,000260228951036685;0,0727331776217854;0,0080181756672336;0,0259041313524036;0,00345559413580486;0,0687556915608923;0,0584790440638676;0,0212526377608433;0,0132129642996291;0,141362786964267;0,283163363472756;0,0118965908596287;1,18089969164983e-05;0,00393538570840964;0,000459852375556894;0,00159955313026923;0,000228879530736828;0,00486424378704619;0,00415386452282773;0,00160550043872639;0,00106987199947651;0,0120279950603674;0,0278350856084564;0,0119047619047619;0,821653402802001;0,00803707517066795
"way";-0,259718922854185;-0,714541722837565;0,462234146315061;0,129451063814855;-0,250166898740737;-0,614143678542009;0,998413944240851;0,0673714346106608;1,13917261275948;-0,0408990469802041;-0,216257536741992;-0,0243116575714827;-0,136954052959577;-0,376789584200859;0,243743655866382;0,0682616717124107;-0,131917113787306;-0,323848046771139;0,526480068115447;0,0355260638009475;0,600704425474433;-0,0215667390907357;-0,114036150367444;-0,0128199362679834;0,030813566227743;0,20152844798686;0,0707306875668724;0,00523367743986806;0,018153845117803;0,101998625340229;0,252378973993491;0,00114455877740352;0,307694727906131;0,000370026978660578;0,00984516353023371;0,000107699134703886;0,000848476967151421;0,00642226256195818;0,00268755227697627;0,00021078714368299;0,000787213550007018;0,00474430764645422;0,0125387472208122;5,70932100817428e-05;0,0163234495806448;2,10406546401125e-05;0,00058826820374483;7,43467539462934e-06;0,0125786163522013;0,669853342390524;0,0056440691863114
"work";-0,0322452802504271;-0,560663780594738;0,395166836573738;0,0794069898272379;0,157136398028323;0,991940005980246;0,353178742911262;0,217718096070783;0,171951207583872;-0,443750877322371;-0,110067480459518;-0,0794744544683472;-0,0233714704036465;-0,406370695270757;0,286418041764838;0,0575544110076502;0,113892906103861;0,718960924262805;0,255984952620726;0,15780269233632;0,124630722006657;-0,321631892028434;-0,0797772214099298;-0,0576033095705014;0,000864731505049667;0,225891749505127;0,0941150339040798;0,00358531537275089;0,0130399737101287;0,484439281139665;0,0574956779658538;0,0217615465724129;0,0127633781448912;0,0793048328838677;0,00464314955848021;0,00209532973768926;1,05096842833078e-05;0,00317733027160497;0,00157840460304275;6,37345353782655e-05;0,000249580669662894;0,00994553546628123;0,00126080078616286;0,000479122331772441;0,000298860018088462;0,0019903791218771;0,000122454685862935;6,38428798488011e-05;0,0101078167115903;0,496446705262919;0,00249116574629119
