humanity;35;30;40;49;17;41;48;31;27;57;19;35;68
digital;25;36;39;54;17;31;48;27;33;38;21;35;63
technology;19;15;14;22;7;13;14;9;10;51;11;19;10
research;14;11;9;12;7;23;20;9;8;34;5;11;38
tool;6;15;13;17;3;14;21;8;10;4;12;14;40
dh;4;16;8;11;14;11;15;19;22;13;8;12;4
study;5;10;13;27;4;13;4;6;7;17;2;2;16
method;5;3;6;10;3;5;18;7;6;9;9;3;22
way;17;11;7;8;8;8;3;9;14;3;3;16;5
work;2;7;7;10;9;6;9;10;6;5;1;13;5
compute;13;4;5;12;0;6;6;4;1;10;5;7;4
question;7;5;5;4;1;7;3;4;6;5;10;32;5
field;4;3;7;18;2;8;6;10;4;23;2;7;3
traditional;3;5;14;2;0;9;7;9;9;10;4;3;5
discipline;3;1;8;7;4;13;4;11;6;8;2;3;8
define;4;2;5;17;11;4;4;4;11;4;3;8;4
computer;3;7;13;17;4;6;4;1;7;3;2;2;3
medium;5;4;10;13;1;1;9;4;1;5;6;7;5
scholarship;4;1;0;9;0;3;6;6;8;9;3;8;3
practice;4;0;6;11;2;9;4;7;6;16;0;5;2
think;0;6;7;12;4;1;3;6;14;2;2;7;4
humanist;3;4;8;4;5;4;4;2;13;1;3;1;1
human;2;12;17;4;0;2;2;2;2;0;1;7;3
teach;3;6;1;7;1;0;3;5;3;20;2;2;16
application;10;1;5;2;0;5;4;5;0;5;0;0;17
understand;2;4;11;3;9;2;4;6;3;2;0;2;1
culture;2;4;7;9;2;0;2;1;1;2;4;5;0
knowledge;10;8;7;4;1;2;2;2;5;2;2;4;0
create;1;9;5;13;10;2;2;0;1;3;0;3;4
humanistic;3;6;1;3;2;2;3;4;7;1;15;2;0
text;1;5;17;16;2;1;0;4;1;0;0;0;0
mean;2;7;7;3;1;2;4;3;11;1;1;2;4
information;2;4;6;4;0;5;0;2;0;15;0;4;1
datum;4;9;6;3;0;6;8;2;4;1;0;3;2
methodology;1;1;4;3;0;11;3;4;2;1;4;5;8
definition;3;4;3;10;0;2;0;13;4;6;1;2;2
approach;7;3;5;7;0;5;6;2;3;1;0;3;2
term;1;5;5;4;0;1;4;11;4;4;1;0;0
inquiry;1;1;3;0;2;2;3;5;4;3;12;6;1
computational;6;0;6;5;1;2;2;1;1;2;1;1;8
scholar;1;6;5;3;0;7;13;0;3;2;0;3;1
cultural;0;1;9;15;0;1;0;3;1;1;0;3;1
science;4;1;1;14;2;2;0;1;2;4;1;0;1
thing;0;1;4;2;1;0;0;7;18;1;1;0;0
intersection;2;2;2;2;0;0;1;3;4;13;6;1;1
history;0;2;19;9;1;1;0;3;2;1;0;0;0
social;9;5;5;8;0;3;0;1;0;1;4;2;0
art;0;1;15;6;0;2;2;3;1;2;0;1;2
community;2;4;5;6;0;7;0;0;1;3;2;2;1
person;0;7;6;2;2;0;0;0;8;1;1;2;1
include;0;5;4;11;0;5;3;4;1;2;0;0;1
develop;1;0;3;2;0;6;5;1;1;3;2;4;8
build;0;4;2;0;1;0;2;2;12;0;0;2;1
analysis;1;3;4;12;0;4;2;2;1;2;1;0;0
apply;1;1;6;6;0;10;0;0;1;3;1;2;2
answer;0;1;4;1;1;0;0;0;3;0;3;19;0
involve;1;4;3;1;0;9;1;6;2;2;2;0;2
interest;2;8;4;7;0;5;0;2;1;2;0;1;0
explore;1;4;4;2;4;1;9;0;1;1;1;5;0
engage;2;0;0;0;1;4;9;1;8;1;0;6;1
critical;2;2;3;10;0;0;0;1;1;1;1;2;1
subject;1;1;10;5;0;1;3;0;2;5;0;0;1
material;2;3;1;3;1;5;7;4;0;1;0;3;0
activity;0;6;3;7;1;3;7;1;0;4;0;0;0
object;1;1;0;13;3;2;1;1;5;1;0;3;2
form;0;1;7;4;1;2;5;0;5;4;1;1;0
scholarly;0;1;6;5;4;0;3;2;4;2;0;2;0
project;0;1;3;4;2;5;0;6;2;0;0;3;1
world;2;5;4;0;1;1;1;6;4;0;0;3;1
literature;0;1;19;7;1;0;1;0;0;0;0;0;0
communication;1;3;4;0;1;1;8;2;1;4;0;1;0
set;0;3;4;3;0;4;1;5;1;0;0;5;0
interdisciplinary;0;1;6;5;0;6;3;0;0;4;0;1;0
resource;0;4;1;0;0;5;0;1;0;3;0;3;8
learn;2;3;4;5;6;0;1;2;0;2;0;1;1
change;0;2;1;1;2;1;0;3;1;1;0;6;2
ask;0;0;1;3;0;1;1;0;1;0;4;15;0
creation;0;6;0;3;0;3;3;1;0;3;0;1;3
concern;4;2;4;2;1;0;1;1;2;2;7;0;0
academic;0;2;3;2;0;5;1;5;1;5;0;0;0
process;0;0;6;0;2;0;3;7;1;1;1;2;1
language;0;4;14;5;0;0;0;2;0;0;0;0;0
find;1;0;0;1;1;1;0;2;15;2;1;0;0
base;1;0;2;3;0;5;1;0;1;8;1;1;1
area;0;2;7;1;0;5;0;0;2;2;0;0;1
share;1;8;1;3;0;4;2;1;0;0;0;5;1
relate;1;4;2;4;1;8;1;1;1;1;0;0;2
open;2;1;3;3;0;3;6;2;0;0;1;4;0
part;0;1;0;1;4;1;0;8;4;0;0;0;0
focus;0;0;2;4;0;1;0;0;5;7;1;3;0
bring;0;4;1;2;0;0;2;4;2;1;0;0;1
