"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13"
"humanity";0,02;1;1;1;1;0,017;0,154;0,887;1;0,026;1;1;0,002
"digital";1;0,806;0,964;0,218;1;1;0,031;1;1;1;1;1;0,014
"technology";0,021;1;1;1;1;1;1;1;1;0;0,761;0,369;1
"research";0,42;1;1;1;1;0,002;0,482;1;1;0;1;1;0
"tool";1;0,585;1;1;1;0,549;0,089;1;1;1;0,143;0,832;0
"dh";1;0,15;1;1;0,001;0,967;0,695;0;0;1;0,83;0,959;1
"study";1;0,855;0,366;0;1;0,096;1;1;1;0,148;1;1;0,655
"method";1;1;1;1;1;1;0,001;0,837;1;1;0,05;1;0,001
"way";0;0,317;1;1;0,105;0,924;1;0,365;0,029;1;1;0,003;1
"work";1;0,93;1;0,874;0,004;1;0,66;0,035;1;1;1;0,008;1
"compute";0;1;1;0,133;1;0,752;1;1;1;0,355;0,452;0,586;1
"question";0,477;1;1;1;1;0,832;1;1;1;1;0,004;0;1
"field";1;1;1;0,006;1;0,581;1;0,066;1;0;1;1;1
"traditional";1;1;0,001;1;1;0,105;1;0,043;0,181;0,429;0,92;1;1
"discipline";1;1;0,509;1;0,706;0;1;0,002;0,96;0,94;1;1;1
"define";1;1;1;0,001;0;1;1;1;0,028;1;1;0,397;1
"computer";1;0,459;0,002;0;0,582;0,62;1;1;0,459;1;1;1;1
"medium";0,652;1;0,062;0,026;1;1;0,219;1;1;1;0,124;0,435;1
"scholarship";0,779;1;1;0,249;1;1;0,727;0,195;0,075;0,177;0,932;0,075;1
"practice";1;1;0,997;0,175;1;0,049;1;0,183;0,79;0;1;1;1
"think";1;0,674;0,533;0,047;0,501;1;1;0,335;0;1;1;0,365;1
"humanist";1;1;0,062;1;0,056;0,854;1;1;0;1;0,753;1;1
"human";1;0;0;1;1;1;1;1;1;1;1;0,116;1
"teach";1;0,703;1;1;1;1;1;0,692;1;0;1;1;0,001
"application";0;1;0,794;1;1;0,482;1;0,323;1;1;1;1;0
"understand";1;0,866;0;1;0;1;1;0,066;1;1;1;1;1
"culture";1;0,509;0,025;0,009;0,796;1;1;1;1;1;0,098;0,199;1
"knowledge";0;0,016;0,116;1;1;1;1;1;0,465;1;1;0,866;1
"create";1;0,007;0,759;0,001;0;1;1;1;1;1;1;1;1
"humanistic";0,934;0,196;1;1;1;1;1;0,545;0,063;1;0;1;1
"text";1;0,405;0;0;1;1;1;0,487;1;1;1;1;1
"mean";1;0,055;0,103;1;1;1;1;0,979;0;1;1;1;1
"information";1;0,653;0,166;1;1;0,21;1;1;1;0;1;0,653;1
"datum";0,447;0,002;0,276;1;1;0,115;0,045;1;0,831;1;1;1;1
"methodology";1;1;0,961;1;1;0;1;0,487;1;1;0,213;0,405;0,224
"definition";0,964;0,9;1;0,025;1;1;1;0;0,9;0,627;1;1;1
"approach";0,003;1;0,449;0,24;1;0,231;0,239;1;1;1;1;1;1
"term";1;0,221;0,323;1;1;1;0,779;0;0,545;1;1;1;1
"inquiry";1;1;1;1;0,91;1;1;0,123;0,653;1;0;0,1;1
"computational";0,004;1;0,062;0,514;1;1;1;1;1;1;1;1;0,039
"scholar";1;0,113;0,449;1;1;0,015;0;1;1;1;1;1;1
"cultural";1;1;0;0;1;1;1;0,542;1;1;1;0,814;1
"science";0,116;1;1;0;0,612;1;1;1;1;0,679;1;1;1
"thing";1;1;0,494;1;1;1;1;0;0;1;1;1;1
"intersection";1;1;1;1;1;1;1;0,612;0,439;0;0,001;1;1
"history";1;1;0;0,007;1;1;1;0,647;1;1;1;1;1
"social";0;0,177;0,266;0,032;1;0,81;1;1;1;1;0,087;1;1
"art";1;1;0;0,199;1;1;1;0,542;1;1;1;1;1
"community";0,959;0,308;0,145;0,149;1;0,001;1;1;1;1;0,723;1;1
"person";1;0,001;0,018;1;0,516;1;1;1;0;1;1;1;1
"include";1;0,139;0,533;0;1;0,091;1;0,204;1;1;1;1;1
"develop";1;1;0,998;1;1;0,018;0,265;1;1;1;0,822;0,405;0,039
"build";1;0,123;1;1;1;1;1;0,741;0;1;1;0,978;1
