the;32;37;45;54;17;40;41;34;40;54;20;39;46
and;29;44;45;54;18;40;43;31;32;54;22;42;48
of;25;37;43;53;17;38;37;35;36;54;20;37;46
to;25;34;38;50;16;31;33;28;35;26;18;42;32
a;17;26;31;38;18;25;19;29;29;19;11;26;16
in;17;22;25;39;10;31;21;21;25;23;7;22;22
is;12;24;30;34;14;21;24;27;25;25;16;22;19
as;6;15;20;33;11;13;13;18;17;13;3;14;9
that;6;23;21;32;15;20;14;21;20;18;8;13;16
i;5;13;10;27;9;7;5;15;17;11;8;8;8
for;4;22;26;19;10;10;16;13;13;15;9;11;12
new;13;13;13;13;7;14;12;8;12;7;7;22;9
it;3;8;15;16;10;9;7;13;17;6;3;11;11
with;9;12;17;21;3;13;16;13;18;7;7;13;7
or;7;15;13;19;6;14;9;10;13;8;2;5;11
are;7;8;18;15;5;8;8;9;10;8;5;4;9
on;0;6;12;17;7;8;7;8;8;12;5;7;2
use;4;8;7;11;5;12;11;6;4;10;3;7;17
be;3;7;15;9;6;7;6;13;10;2;4;4;6
not;3;8;14;7;3;7;9;11;13;5;4;4;6
an;1;13;14;13;4;6;3;10;12;15;2;9;3
using;10;7;7;16;6;3;8;4;8;8;5;9;12
we;1;3;14;9;7;0;2;5;9;0;4;1;3
by;3;8;9;9;4;9;9;5;10;5;4;2;6
about;4;6;7;8;8;2;5;2;10;4;3;6;4
but;4;5;7;14;2;4;7;11;10;2;2;6;6
from;3;7;6;10;4;5;2;10;10;4;2;6;3
make;3;9;6;8;6;3;9;3;7;6;2;4;8
can;1;4;10;8;3;6;3;5;10;0;2;8;6
our;3;6;8;6;2;3;3;4;9;2;2;7;2
my;1;2;3;17;1;5;3;7;7;4;1;5;0
this;3;3;6;12;3;5;0;7;10;2;3;4;0
more;3;5;7;4;5;5;1;5;11;1;0;9;3
which;2;5;4;10;3;5;4;6;2;2;3;6;0
me;1;12;4;7;4;3;6;4;8;4;3;6;2
at;0;4;4;5;2;4;1;8;12;7;2;1;5
what;0;2;5;7;6;0;5;8;9;0;1;4;3
through;3;6;5;4;2;2;8;4;5;7;2;2;3
also;4;6;3;12;4;5;4;6;5;2;0;3;4
do;0;1;5;6;3;2;4;3;13;0;2;2;8
how;2;2;8;6;3;0;2;5;3;4;0;6;3
have;1;5;6;5;2;2;1;11;7;2;3;3;1
all;3;5;5;3;4;3;2;3;9;2;3;4;3
these;3;3;4;3;0;4;3;5;4;0;1;2;6
one;1;3;4;6;2;3;4;3;5;0;2;3;1
just;0;4;4;6;3;3;1;3;3;0;3;2;1
into;2;3;5;3;1;1;3;4;4;3;3;2;1
their;0;5;3;8;3;3;2;3;5;3;0;1;1
other;1;3;9;9;1;3;0;6;1;0;1;1;2
its;1;2;2;6;2;3;3;6;3;2;1;3;1
who;0;4;7;3;1;1;3;3;6;1;1;0;2
between;1;6;4;8;0;2;2;1;2;7;0;2;1
us;0;3;3;5;2;2;0;1;4;1;2;7;2
within;5;0;6;6;3;1;1;3;2;2;1;3;2
those;0;3;10;3;0;4;0;3;4;1;2;3;2
they;1;3;4;2;2;5;2;2;5;0;1;2;0
would;1;3;3;6;4;2;1;2;1;2;0;2;0
it_s;0;4;2;2;3;0;2;1;6;2;0;1;5
both;1;2;2;5;0;6;3;4;2;4;0;2;3
any;2;1;4;3;1;2;6;3;2;1;0;1;1
so;0;1;6;6;3;2;0;1;2;0;2;1;3
well;1;3;2;8;2;2;0;4;0;2;0;4;3
such;3;0;10;4;2;1;1;4;2;0;1;0;0
