"";"";"";"";"humanity";""
"1";"humanity";"0.778611654917738";"0.0658909043751144";"1.10263124641569";"121"
"2";"observe";"-2.00100447430689";"3.21301290379359";"1.07579389379757";"135"
"3";"belief";"-2.00100447430689";"3.21301290379359";"1.07579389379757";"138"
"4";"disseminate";"1.01629051377417";"-1.06868979689063";"1.03471456759883";"167"
"5";"communicate";"-0.849689494690837";"-1.14937499609953";"1.0222261102849";"179"
"6";"perspective";"0.841358715977182";"0.40615681113886";"1.01442082446369";"184"
"7";"complex";"0.461507335194887";"-1.22549989832198";"1.01097794496447";"190"
"8";"historical";"0.55814365653786";"0.229501051423993";"1.01095656061976";"192"
"9";"seek";"0.715632517383777";"0.11987020267537";"0.999088249302579";"201"
"10";"theory";"-0.109844810308892";"-0.800155410202073";"0.998125953790375";"205"
"11";"knowledge";"-0.49048800421846";"-0.226804345336596";"0.993485550987082";"208"
"12";"experience";"-0.48463234011232";"-0.246915210279596";"0.993314476229357";"209"
"13";"creation";"0.94532190020854";"0.223280460264529";"0.986300411162628";"216"
"14";"innovation";"-1.87179719441673";"2.08032669231854";"0.974325178121871";"226"
"15";"process";"-0.496171387948815";"-0.683484506788932";"0.97261443054462";"229"
"16";"effective";"0.772200760028617";"-0.264494813144789";"0.962670710251849";"237"
"17";"distribute";"0.772200760028617";"-0.264494813144789";"0.962670710251849";"238"
"18";"education";"1.0367191378835";"-0.917806786869643";"0.960767503572158";"239"
"19";"finding";"1.23469510435288";"-0.538217490863858";"0.957602620554243";"244"
"20";"www";"0.863765980659243";"0.224609172317161";"0.955934641666424";"248"
"21";"evaluation";"1.31073801573802";"0.181672846736289";"0.954929577464789";"254"
"22";"consideration";"1.31073801573802";"0.181672846736289";"0.954929577464789";"255"
"23";"access";"0.66496207868825";"-0.296730209439376";"0.951700541412728";"257"
"24";"collaboration";"1.5777178781996";"0.205663999313099";"0.940794525607753";"268"
"25";"project";"-0.675194470742043";"-0.607361253332102";"0.938463632033748";"269"
"26";"methodology";"1.1312378793943";"-0.137016370153719";"0.934229531780052";"271"
"27";"exploration";"1.39355129990714";"0.16777182015562";"0.930444502765385";"276"
"28";"consciously";"0.499343117189456";"-0.970279202542463";"0.923045519493774";"279"
"29";"anymore";"0.499343117189456";"-0.970279202542463";"0.923045519493774";"282"
"30";"algorithm";"0.554964619523087";"1.21098055890926";"0.923045519493774";"284"
"31";"organize";"-1.26916160820678";"-1.75650698190102";"0.920458013783182";"289"
"32";"physical";"-1.24535732999614";"-0.979003225845941";"0.920180017301879";"293"
"33";"explore";"0.257785553676716";"-0.331505439655181";"0.919816483441713";"297"
"34";"reflect";"-0.242067467519908";"0.0426466165681791";"0.917464205522993";"301"
"35";"combination";"0.43067527180681";"-0.283301620951229";"0.917464205522993";"302"
