"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"humanity";0,778611654917738;0,0658909043751144;0,373137301629827;0,186086152766984;0,141797211312693;-0,500331803402547;0,758089148212009;0,0641541637055598;0,363302215388195;0,181181327243396;0,13805974578461;-0,487144147238444;0,707111741203605;0,00439464193145235;0,117647138770645;0,025526417153177;0,0129771659228842;0,132342895018243;0,0337059472529179;0,000241387998109489;0,00774108915543913;0,00192527535035627;0,00111789268862106;0,0139181321342269;0,0555987126844967;0,418866889581784;0,00975476473922395
"digital";0,526323732703709;-0,0059795668009805;0,185281382576115;0,0364773629891061;0,0679775726909795;-0,578862199514601;0,651615061067921;-0,00740300226661841;0,229387602952818;0,0451607967393783;0,0841596291938775;-0,716660306289014;0,6059107025024;6,78685344741025e-05;0,0543956374844502;0,00183935300699127;0,00559283816581361;0,332193600305901;0,0143872824672238;1,85700172584815e-06;0,00178293877053825;6,91066328908063e-05;0,0002399960916693;0,0174029649029609;0,0519365220286317;0,305877686885389;0,00485924121279309
"technology";0,897833653247494;0,107496226831812;0,125803174147989;0,317813568076299;0,89712805262011;1,51679028252377;0,446689816016699;0,0534814768997696;0,0625895415160957;0,158118470763625;0,446338765893675;0,754632854076918;0,338762159628761;0,00421420719905666;0,0048181921900451;0,026826468278775;0,187158793562642;0,438220179140723;0,0195912833081699;0,000280839095937603;0,000384639891136424;0,00245479931502519;0,0195605021277052;0,0559142109303876;0,0243036288980135;0,697826711181995;0,0118349466236554
"research";1,27552699349873;0,0879428238304795;0,880622023110133;0,172040907870663;0,228661949168559;-0,322993282856776;0,791595377928715;0,054577545768165;0,546516323644474;0,106769035997835;0,141908201858985;-0,200450473502034;0,710343388645511;0,00293032748623664;0,24528212954532;0,00816710212762003;0,0126320858169351;0,0206449663783824;0,0357496264572738;0,000169938982591188;0,0170400664989617;0,000650362739788088;0,00114889411003415;0,00229234078710224;0,0219731439351903;0,684627970410626;0,0102991522203948
"tool";0,882838793918828;-0,0065884361316926;0,139771698120241;-0,220728062150415;-0,105975316124347;-1,8562146936269;0,425521630592919;-0,00317557645305844;0,0673689027991838;-0,10638925879881;-0,0510793019410274;-0,894681462350051;0,325798475026085;1,5746252834758e-05;0,00591592284139458;0,0128711345575501;0,00259772934936041;0,652800991972776;0,0153960683405341;8,57455702777481e-07;0,000385909523025636;0,000962414402494796;0,000221848478273516;0,0680617991358204;0,0197536344467873;0,699690602440796;0,00967072635308242
"dh";-0,215384362350484;-1,04693034098409;0,0796364991117706;0,0457507643271678;-0,286000941756705;0,370018186801411;-0,184042238512194;-0,89458399587761;0,0680480207748548;0,0390932423715804;-0,244382892811165;0,316174185748642;0,0417629315851205;0,856297196247732;0,00413604016089448;0,00119089877060632;0,0407470146540393;0,0558659185815951;0,00080311908478964;0,0189752357856175;0,00010979332266802;3,62366729660556e-05;0,00141607591110561;0,00237026961890505;0,0173121740095439;0,4767797879944;0,00393538549921626
"study";0,272128294698365;0,648251870094453;0,686433671721318;0,203629910249872;0,473592896397801;-0,511416947276483;0,222728640251029;0,530574219510557;0,5618248499094;0,166664819160628;0,387621220954435;-0,418579043368059;0,0705984171809943;0,347665367679105;0,325418703195898;0,0249830929421046;0,118319452994254;0,113014966007644;0,00108479666611454;0,00615585665238998;0,00690236782918776;0,000607412998111748;0,00328557436027484;0,0038313442240518;0,0146487626234602;0,463313946907642;0,00314450065128023
"method";1,12669829750174;0,0567409235690209;0,588249237741337;0,385259959894909;-0,0893571859705759;-1,41424517330032;0,579878974576924;0,0292029096420114;0,302754841765061;0,19828214082223;-0,0459895550446742;-0,727871021649863;0,502217565275016;0,00110533961076743;0,0991738462279615;0,0371107620361429;0,00174796937443016;0,358644517475684;0,0156374259181954;3,96590941325788e-05;0,00426258188803266;0,00182834327749453;9,83578339794018e-05;0,0246376567009834;0,012318277660637;0,719218491253875;0,00637194001064549
"way";-0,292086276484995;-1,04246555864418;-0,544775099475391;-0,0591975930830162;-0,0837769005085979;-0,26200331005771;-0,234761047523513;-0,837869924940019;-0,437856836536923;-0,0475793971914099;-0,0673347380724406;-0,210582202847642;0,0666203228966192;0,736434574963552;0,167886862994976;0,00172945006395726;0,00303271246342837;0,0242960766174678;0,000899441496674348;0,0114570826646472;0,00312885266405506;3,69452588556347e-05;7,39944579501292e-05;0,000723709330342211;0,0105426700699145;0,511925710174332;0,00276289575075596
"work";-0,0109861409770592;-0,641323670211561;-0,149066318114491;0,234750967594177;-0,217034389758138;0,106292002374368;-0,01485227492816;-0,867011946033525;-0,201524260774381;0,317362203674689;-0,293410983190948;0,143697231377723;0,00027483207718814;0,812751788727247;0,0366550589761675;0,0793062412633223;0,0593515990280164;0,0116604799280595;1,29923909400493e-06;0,00442744610447695;0,000239198137613188;0,000593216915800803;0,000507055915520548;0,000121618578134393;0,0107646210187549;0,299785493229033;0,000967430936544863
