"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"7";"***";"";""
"**";"classe";"1";"**";"";""
"****";"84";"663";"12.67";"****";""
" 4";"132";" 3.03";"-13.841";"study";"0.0001989713"
" 0";" 55";" 0.00";" -8.701";"application";"0.0031802088"
" 0";" 46";" 0.00";" -7.171";"text";"0.0074086555"
" 0";" 39";" 0.00";" -6.012";"history";"0.0142116677"
" 0";" 38";" 0.00";" -5.848";"include";"0.0155935159"
"16";"198";" 8.08";" -5.373";"research";"0.0204521351"
" 0";" 33";" 0.00";" -5.038";"activity";"0.0247922082"
" 0";" 32";" 0.00";" -4.878";"subject";"0.0272023454"
" 0";" 30";" 0.00";" -4.559";"literature";"0.0327537752"
" 1";" 41";" 2.44";" -4.134";"term";"0.0420268339"
"56";"501";"11.18";" -4.125";"humanity";"0.0422441587"
" 0";" 26";" 0.00";" -3.926";"language";"0.0475454499"
" 0";" 25";" 0.00";" -3.769";"relate";"0.0522088220"
" 4";" 72";" 5.56";" -3.695";"computer";"0.0545878570"
" 2";" 50";" 4.00";" -3.674";"understand";"0.0552787365"
" 1";" 38";" 2.63";" -3.671";"art";"0.0553654568"
" 0";" 23";" 0.00";" -3.457";"area";"0.0629957949"
" 0";" 22";" 0.00";" -3.301";"part";"0.0692270282"
" 1";" 35";" 2.86";" -3.216";"thing";"0.0729420749"
" 4";" 68";" 5.88";" -3.155";"teach";"0.0757036910"
" 5";" 77";" 6.49";" -3.003";"discipline";"0.0830892313"
" 0";" 20";" 0.00";" -2.992";"bring";"0.0836868424"
" 0";" 19";" 0.00";" -2.838";"umbrella";"0.0920701181"
" 0";" 19";" 0.00";" -2.838";"challenge";"0.0920701181"
" 1";" 32";" 3.12";" -2.768";"analysis";"0.0961431542"
" 0";" 17";" 0.00";" -2.531";"time";"0.1116135765"
" 0";" 17";" 0.00";" -2.531";"idea";"0.1116135765"
" 5";" 73";" 6.85";" -2.512";"practice";"0.1130094703"
" 1";" 30";" 3.33";" -2.475";"science";"0.1156361912"
" 1";" 30";" 3.33";" -2.475";"interest";"0.1156361912"
" 0";" 16";" 0.00";" -2.379";"network";"0.1230040577"
" 0";" 16";" 0.00";" -2.379";"enhance";"0.1230040577"
" 0";" 16";" 0.00";" -2.379";"emerge";"0.1230040577"
" 1";" 29";" 3.45";" -2.331";"communication";"0.1268450364"
" 2";" 40";" 5.00";" -2.263";"computational";"0.1324860310"
" 0";" 15";" 0.00";" -2.227";"collaborative";"0.1356573334"
" 0";" 15";" 0.00";" -2.227";"technological";"0.1356573334"
" 0";" 15";" 0.00";" -2.227";"philosophy";"0.1356573334"
" 0";" 14";" 0.00";" -2.075";"design";"0.1497395572"
" 0";" 14";" 0.00";" -2.075";"view";"0.1497395572"
" 0";" 14";" 0.00";" -2.075";"online";"0.1497395572"
" 1";" 27";" 3.70";" -2.045";"creation";"0.1527109722"
" 7";" 88";" 7.95";" -2.039";"traditional";"0.1533250186"
"*****";"*";"*";"*";"*";"*"
" 7";"131";" 5.34";"-7.919";"or";"0.004890536"
" 0";" 23";" 0.00";"-3.457";"used";"0.062995795"
" 3";" 58";" 5.17";"-3.229";"at";"0.072346971"
" 1";" 35";" 2.86";"-3.216";"who";"0.072942075"
" 3";" 56";" 5.36";"-2.956";"also";"0.085554248"
"22";"228";" 9.65";"-2.866";"that";"0.090496479"
" 0";" 19";" 0.00";"-2.838";"e";"0.092070118"
"29";"285";"10.18";"-2.811";"in";"0.093637734"
" 0";" 18";" 0.00";"-2.684";"don_t";"0.101343327"
" 0";" 17";" 0.00";"-2.531";"you";"0.111613577"
" 0";" 17";" 0.00";"-2.531";"uses";"0.111613577"
" 0";" 16";" 0.00";"-2.379";"know";"0.123004058"
"18";"189";" 9.52";"-2.365";"as";"0.124119583"
" 9";"109";" 8.26";"-2.296";"are";"0.129726828"
" 2";" 40";" 5.00";"-2.263";"their";"0.132486031"
" 1";" 28";" 3.57";"-2.187";"it_s";"0.139164493"
" 1";" 28";" 3.57";"-2.187";"such";"0.139164493"
" 0";" 14";" 0.00";"-2.075";"said";"0.149739557"
" 0";" 14";" 0.00";"-2.075";"together";"0.149739557"
" 0";" 14";" 0.00";"-2.075";"example";"0.149739557"
" 7";" 88";" 7.95";"-2.039";"by";"0.153325019"
"*";"*";"*";"*";"*";"*"
"3";"60";"5";"-3.507";"*year_2010-01-01";"0.06109936"
"0";"19";"0";"-2.838";"*year_2009-01-01";"0.09207012"
"**";"classe";"2";"**";"";""
"****";"102";"663";"15.38";"****";""
" 3";" 68";" 4.41";"-7.008";"teach";"0.008113579"
" 0";" 35";" 0.00";"-6.718";"thing";"0.009542867"
" 1";" 46";" 2.17";"-6.627";"text";"0.010045715"
" 0";" 33";" 0.00";"-6.314";"critical";"0.011976898"
" 0";" 32";" 0.00";"-6.113";"answer";"0.013417293"
" 0";" 31";" 0.00";"-5.913";"person";"0.015030999"
" 4";" 70";" 5.71";"-5.622";"think";"0.017734745"
" 1";" 40";" 2.50";"-5.429";"intersection";"0.019808906"
" 1";" 39";" 2.56";"-5.232";"history";"0.022174923"
" 0";" 26";" 0.00";"-4.920";"language";"0.026544096"
" 1";" 37";" 2.70";"-4.841";"cultural";"0.027783702"
" 2";" 47";" 4.26";"-4.813";"definition";"0.028243245"
" 0";" 19";" 0.00";"-3.556";"umbrella";"0.059313918"
" 2";" 40";" 5.00";"-3.526";"culture";"0.060399164"
" 1";" 30";" 3.33";"-3.506";"literature";"0.061161914"
" 0";" 17";" 0.00";"-3.172";"present";"0.074899252"
" 4";" 55";" 7.27";"-3.032";"human";"0.081654411"
" 0";" 16";" 0.00";"-2.981";"order";"0.084245575"
