"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"humanity";-4,125;8,921;14,486;3,775;-13,547;-5,894;-0,842
"digital";-0,346;2,735;1,342;-5,645;-2,91;0,212;1,834
"technology";0,652;-2,346;-18,269;96,955;-7,347;-0,14;-0,967
"research";-5,373;8,697;9,269;14,247;-6,807;-1,389;-11,796
"tool";0,825;3,421;21,296;-20,296;-6,519;0,382;-0,464
"dh";0,116;0,258;-21,703;-3,079;40,509;2,448;-5,483
"study";-13,841;-0,795;0,914;0,595;-2,215;0,008;15,062
"method";-0,416;2,916;13,622;-0,625;-1,221;-4,281;-1,511
"way";5,385;-1,234;-7,975;-9,658;15,797;2,842;-0,56
"work";0,802;0,001;-6,665;-1,473;8,885;-0,005;-0,079
"compute";1,697;0,298;-3,319;2,389;-5,903;-0,252;2,085
"question";103,213;-1,783;-4,519;-2,971;-1,239;-0,641;-5,638
"field";-1,181;-0,079;-10,246;18,657;-0,197;-3,066;3,921
"traditional";-2,039;0,61;-0,106;0,024;1,466;-0,433;-0,009
"discipline";-3,003;2,998;-0,223;-0,571;4,945;-4,724;0,05
"define";0,128;-1,905;-6,724;-5,109;18,199;-3,094;5,129
"computer";-3,695;-0,139;-5,458;-2,704;-0,112;0,642;28,56
"medium";2,286;-0,103;-2,53;-0,014;-4,994;-0,359;10,083
"scholarship";1,697;-0,269;0,494;0,62;0,317;-3,88;-1,418
"practice";-2,512;0,37;-7,417;14,663;0,332;-6,547;1,218
"think";0,002;-5,622;-5,108;-3,767;13,832;0,159;3,823
"humanist";-0,211;-0,057;-8,201;-3,235;18,521;-0,005;0,335
"human";0,191;-3,032;-4,142;-6,722;-2,092;18,24;15,294
"teach";-3,155;-7,008;6,281;20,965;-1,209;0,227;-2,31
"application";-8,701;0,044;34,805;1,347;-3,283;-2,721;-1,347
"understand";-3,674;-0,476;-4,99;-1,245;11,69;0,029;3,195
"culture";3,718;-3,526;-7,384;-0,014;-1,884;0,423;12,959
"knowledge";0,152;-1,064;-7,58;-0,434;0,059;9,382;1,982
"create";-1,366;-2,718;-2,393;-2,813;0,274;7,741;9,053
"humanistic";23,196;-1,091;-6,818;-2,274;2,537;1,822;-3,779
"text";-7,171;-6,627;-8,574;-7,466;-0,277;0,874;92,539
"mean";-1,689;-0,208;-1,453;-5,197;7,02;4,424;0,332
"information";-0,546;-0,585;-3,92;26,911;-5,841;0,199;0,544
"datum";-1,572;9,172;-4,095;-3,189;-0,74;11,215;0,067
"methodology";2,626;6,611;0,445;-2,406;-1,357;-2,296;-0,742
"definition";-1,807;-4,813;-4,449;-0,006;11,144;0,093;2,777
"approach";-1,132;4,397;-0,001;-4,375;-1,028;0;3,321
"term";-4,134;-0,342;-5,285;-0,033;10,075;1,474;0,334
"inquiry";35,412;-0,499;-5,663;-0,589;1,736;-1,724;-4,077
"computational";-2,263;-0,948;30,86;-2,463;-3,226;-3,397;2,256
"scholar";-1,458;32,734;-3,92;-3,041;-4,046;2,686;-0,004
"cultural";-0,122;-4,841;-2,735;-3,732;-1,404;-1,258;55,625
"science";-2,475;-1,835;-1,643;0,001;-0,044;-0,756;20,566
"thing";-3,216;-6,718;-6,409;-3,415;78,691;-1,11;-0,049
"intersection";2,067;-5,429;-0,176;14,021;-0,01;-0,355;-2,06
"history";-6,012;-5,232;-4,91;-4,052;-0,206;-0,31;77,74
"social";1,763;-0,592;-5,26;-2,489;-4,392;4,3;13,857
"art";-3,671;-0,731;-0,579;-0,966;-1,56;-1,334;35,953
"community";0,087;0,605;-2,412;0,044;-5,791;0,88;4,055
"person";-0,263;-5,913;-3,447;-1,269;4,398;10,963;1,133
"include";-5,848;0,995;-2,899;-0,966;-0,664;1,959;11,677
"develop";0,276;5,232;2,264;0,186;-4,703;-3,307;-0,901
"build";-0,807;-1,525;-1,354;-2,339;24,815;2,031;-2,518
"analysis";-2,768;0,293;-5,832;-0,414;-1,726;0,193;22,006
"apply";-0,33;6,501;-1,943;-0,414;-5,086;-0,894;7,989
"answer";95,571;-6,113;-5,832;-5,078;-0,711;-0,894;-0,191
"involve";-1,616;4,936;-2,412;0,044;0,564;0,88;-1,241
"interest";-2,475;0,04;-5,45;-1,149;-1,391;17,058;6,824
"explore";0,954;5,937;-3,807;-3,103;-0,204;1,135;-0,003
"engage";0,954;15,378;-3,807;-0,495;3,489;-2,771;-7,91
"critical";-0,402;-6,314;-3,807;16,455;-3,396;-0,09;9,984
"subject";-4,878;-0,215;-0,139;0,934;-3,185;-0,894;17,85
"material";-0,101;16,95;-5,071;-2,339;-0,001;0,472;-0,352
"activity";-5,038;5,937;-6,024;0,125;-3,396;5,909;3,174
"object";-0,402;-1,057;-0,893;-3,103;1,971;-0,965;9,984
"form";-1,136;1,294;-5,641;-0,001;0,035;-0,824;6,17
"scholarly";-1,252;-0,933;-5,832;0,185;3,922;-0,894;5,571
"project";-0,062;0,212;-2,742;-4,251;6,809;-0,559;1,013
"world";-0,062;-1,376;-2,742;-2,19;9,733;5,092;-0,26
"literature";-4,559;-3,506;-3,269;-4,746;-4,622;-0,756;96,481
"communication";-2,331;5,706;-5,26;1,523;0,137;0,387;-0,455
"set";1,053;0,308;-4,694;-4,087;0,452;0,68;1,255
"interdisciplinary";-1,904;7,688;-4,694;0,122;-5,98;-0,497;10,107
"resource";-0,062;0,212;7,691;0,071;-3,935;2,267;-4,107
"learn";-1,765;-2,587;-2,397;-0,598;3,386;0,806;5,234
"change";4,386;-2,054;-0,585;-1,468;5,121;0,096;-1,348
"ask";89,247;-1,23;-4,694;-4,087;-3,709;-2,16;-0,18
"creation";-2,045;1,011;0;2,045;-3,935;9,046;-1,031
"concern";7,541;-2,054;-3,947;-0,324;0;0,096;1,145
"academic";-1,904;1,23;-4,694;2,352;0,452;0,004;0,008
"process";-0,011;-0,229;-0,948;-1,896;8,406;-2,073;0,51
"language";-3,926;-4,92;-2,569;-4,087;-1,977;2,527;53,243
"find";-1,491;-2,23;-4,133;-0,41;58,176;-1,901;-3,181
"base";-0,34;2,096;-2,059;9,806;-3,04;-1,901;0,16
"area";-3,457;0,739;-2,059;1,552;-1,421;0,059;4,154
"share";1,262;1,481;-2,397;-3,924;-3,484;22,988;-0,112
"relate";-3,769;8,482;-0,948;-1,896;-0,652;2,813;0,51
"open";1,771;10,32;-4,133;-3,599;-1,421;-0,322;0,895
"part";-3,301;-2,054;-3,947;-1,468;62,324;-0,269;-2,954
"focus";0,36;-2,407;-2,227;5,623;0,126;-1,987;0,685
"bring";-2,992;-0,459;-0,374;-1,193;6,672;4,79;-0,172
"development";-1,357;-0,692;2,819;3,997;-2,82;7,82;-2,954
"technique";-0,194;-0,572;24,34;-1,33;-2,603;-1,731;0,004
"support";-0,263;-0,053;-0,585;-3,437;-2,82;1,297;14,893
