humanity;56;89;89;73;75;30;89
digital;57;79;74;52;77;36;93
technology;31;27;14;69;27;15;36
research;16;43;42;41;24;11;21
tool;26;35;45;6;21;15;30
dh;21;26;5;14;55;16;19
study;4;17;23;20;18;10;40
method;12;23;29;12;16;3;16
way;19;11;5;3;31;11;15
work;15;15;6;9;28;7;17
compute;12;12;5;13;5;4;17
question;42;10;7;7;13;5;9
field;9;14;4;26;16;3;25
traditional;7;16;12;12;20;5;16
discipline;5;17;10;8;21;1;15
define;11;8;4;4;28;2;22
computer;4;10;4;5;12;7;30
medium;13;10;6;9;6;4;23
scholarship;12;9;12;11;14;1;9
practice;5;13;3;20;15;0;17
think;9;4;4;4;24;6;19
humanist;6;8;1;3;22;4;12
human;8;4;3;1;6;12;21
teach;4;3;17;21;9;6;8
application;0;9;23;10;5;1;7
understand;2;6;2;4;18;4;14
culture;9;2;0;5;4;4;16
knowledge;6;4;0;4;8;8;11
create;4;4;4;3;11;9;18
humanistic;17;5;1;3;13;6;4
text;0;1;0;0;7;5;33
mean;3;6;4;1;15;7;10
information;4;5;2;17;2;4;10
datum;3;14;2;2;6;9;9
methodology;10;14;9;3;6;1;7
definition;3;2;2;6;17;4;13
approach;3;11;6;1;5;3;12
term;1;5;1;5;15;5;9
inquiry;18;5;1;4;11;1;3
computational;2;4;18;2;3;0;11
scholar;3;20;2;2;3;6;8
cultural;4;1;2;1;4;1;24
science;1;2;2;4;5;1;15
thing;1;0;0;1;26;1;6
intersection;8;1;5;13;7;2;4
history;0;1;1;1;6;2;28
social;6;3;0;1;1;5;13
art;1;4;4;3;4;1;21
community;5;7;2;5;1;4;11
person;3;0;1;2;10;7;8
include;0;8;2;3;5;5;15
develop;6;11;9;6;2;0;5
build;2;2;2;1;15;4;2
analysis;1;6;0;3;3;3;16
apply;3;10;2;3;1;1;12
answer;22;0;0;0;4;1;5
involve;2;10;2;5;8;4;4
interest;1;5;0;2;3;8;11
explore;6;10;1;1;5;4;6
engage;6;13;1;3;10;0;0
critical;3;0;1;12;2;2;13
subject;0;4;4;6;2;1;15
material;3;12;0;1;5;3;4
activity;0;10;0;5;2;6;10
object;3;3;3;1;9;1;13
