"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"1";2;4;6;8;11;12;15;17;18;18;18;18;18;18;18;18;18;18;18
"2";2;4;6;8;11;12;15;17;19;21;23;25;25;29;29;29;29;29;29
"3";2;4;6;8;11;12;15;17;19;21;23;24;24;24;24;24;24;24;24
"4";2;4;6;8;11;12;15;17;19;21;23;25;25;29;29;29;29;29;29
"5";2;4;6;8;11;12;15;17;18;18;18;18;18;18;18;18;18;18;18
"6";2;4;6;8;11;12;15;17;19;21;23;25;25;28;31;31;31;31;31
"7";2;4;6;8;11;12;15;17;19;21;23;25;25;28;30;30;30;30;30
"8";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;32;34;34;34
"9";2;4;6;8;11;12;15;17;19;21;23;25;25;28;30;30;30;30;30
"10";2;4;6;8;11;12;15;17;19;20;20;20;20;20;20;20;20;20;20
"11";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;32;35;35;35
"12";2;4;6;8;11;12;14;14;14;14;14;14;26;26;26;26;26;36;39
"13";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;33;33;33;33
"14";2;4;6;8;11;12;15;17;19;21;23;25;25;28;30;30;30;30;30
"15";2;4;6;8;11;12;15;17;19;21;23;25;25;28;31;31;31;31;31
"16";2;4;6;8;11;12;15;17;19;21;23;25;25;28;30;30;30;30;30
"17";2;4;6;8;11;12;15;17;18;18;18;18;18;18;18;18;18;18;18
"18";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19";2;4;6;8;11;12;15;17;19;21;23;25;25;28;30;30;30;30;30
"20";2;4;6;8;11;12;15;17;19;21;23;25;25;28;30;30;30;30;30
"21";2;4;6;8;11;12;15;17;18;18;18;18;18;18;18;18;18;18;18
"22";2;4;6;8;11;12;15;17;19;21;23;24;24;24;24;24;24;24;24
"23";2;4;6;8;11;12;15;17;19;21;23;25;25;28;30;30;30;30;30
"24";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;32;35;35;35
"25";2;4;6;8;11;12;15;17;19;21;23;25;25;28;31;31;31;31;31
"26";2;4;6;8;11;12;15;17;19;21;23;24;24;24;24;24;24;24;24
"27";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;32;34;34;34
"28";2;4;6;8;11;12;15;17;19;21;23;24;24;24;24;24;24;24;24
"29";2;4;6;8;11;12;15;17;19;21;23;25;25;28;31;31;31;31;31
"30";2;4;6;8;11;12;15;17;18;18;18;18;18;18;18;18;18;18;18
"31";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;32;34;34;34
"32";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;32;34;34;34
