"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"7";"***";"";""
"**";"classe";"1";"**";"";""
"****";"84";"663";"12.67";"****";""
"42";"93";" 45.16";"103.213";"question";"3.010275e-24"
"22";"32";" 68.75";" 95.571";"answer";"1.427108e-22"
"19";"26";" 73.08";" 89.247";"ask";"3.484344e-21"
" 7";" 8";" 87.50";" 40.981";"improve";"1.536864e-10"
"18";"43";" 41.86";" 35.412";"inquiry";"2.668322e-09"
" 7";" 9";" 77.78";" 34.956";"http";"3.373000e-09"
" 9";"14";" 64.29";" 34.438";"source";"4.400947e-09"
" 4";" 4";"100.00";" 27.739";"pose";"1.388510e-07"
" 9";"18";" 50.00";" 23.303";"opportunity";"1.383568e-06"
"17";"49";" 34.69";" 23.196";"humanistic";"1.463119e-06"
" 5";" 8";" 62.50";" 18.173";"simple";"2.017535e-05"
" 5";" 9";" 55.56";" 15.166";"great";"9.845141e-05"
" 3";" 4";" 75.00";" 14.130";"break";"1.705604e-04"
" 3";" 4";" 75.00";" 14.130";"tradition";"1.705604e-04"
" 6";"13";" 46.15";" 13.437";"interpretation";"2.467533e-04"
" 5";"10";" 50.00";" 12.788";"interpret";"3.489033e-04"
" 4";" 7";" 57.14";" 12.647";"lead";"3.762528e-04"
" 6";"15";" 40.00";" 10.361";"perspective";"1.287277e-03"
" 3";" 5";" 60.00";" 10.200";"complex";"1.404308e-03"
" 3";" 5";" 60.00";" 10.200";"blog";"1.404308e-03"
" 4";" 8";" 50.00";" 10.199";"historical";"1.405219e-03"
" 5";"12";" 41.67";"  9.287";"broad";"2.307503e-03"
" 2";" 3";" 66.67";"  7.941";"redefine";"4.831547e-03"
" 2";" 3";" 66.67";"  7.941";"historically";"4.831547e-03"
" 2";" 3";" 66.67";"  7.941";"figure";"4.831547e-03"
" 2";" 3";" 66.67";"  7.941";"effective";"4.831547e-03"
" 2";" 3";" 66.67";"  7.941";"distribute";"4.831547e-03"
" 3";" 6";" 50.00";"  7.626";"constantly";"5.753547e-03"
" 3";" 6";" 50.00";"  7.626";"www";"5.753547e-03"
" 3";" 6";" 50.00";"  7.626";"rethink";"5.753547e-03"
" 7";"22";" 31.82";"  7.541";"concern";"6.031759e-03"
" 3";" 7";" 42.86";"  5.827";"pursue";"1.578381e-02"
" 3";" 7";" 42.86";"  5.827";"reflect";"1.578381e-02"
" 3";" 7";" 42.86";"  5.827";"combination";"1.578381e-02"
"19";"95";" 20.00";"  5.385";"way";"2.030802e-02"
" 2";" 4";" 50.00";"  5.069";"moment";"2.436426e-02"
" 2";" 4";" 50.00";"  5.069";"late";"2.436426e-02"
" 2";" 4";" 50.00";"  5.069";"incorporation";"2.436426e-02"
" 4";"12";" 33.33";"  4.716";"offer";"2.987879e-02"
" 3";" 8";" 37.50";"  4.512";"specific";"3.365237e-02"
" 3";" 8";" 37.50";"  4.512";"corpus";"3.365237e-02"
" 3";" 8";" 37.50";"  4.512";"give";"3.365237e-02"
" 6";"22";" 27.27";"  4.386";"change";"3.624263e-02"
" 4";"13";" 30.77";"  3.926";"transform";"4.754545e-02"
" 4";"13";" 30.77";"  3.926";"dissemination";"4.754545e-02"
" 9";"40";" 22.50";"  3.718";"culture";"5.383424e-02"
" 3";" 9";" 33.33";"  3.521";"society";"6.059720e-02"
" 2";" 5";" 40.00";"  3.401";"analyse";"6.515395e-02"
" 2";" 5";" 40.00";"  3.401";"critique";"6.515395e-02"
" 2";" 5";" 40.00";"  3.401";"website";"6.515395e-02"
" 2";" 5";" 40.00";"  3.401";"relevant";"6.515395e-02"
" 3";"10";" 30.00";"  2.756";"day";"9.688893e-02"
"10";"50";" 20.00";"  2.626";"methodology";"1.051090e-01"
" 2";" 6";" 33.33";"  2.337";"excite";"1.263658e-01"
" 2";" 6";" 33.33";"  2.337";"component";"1.263658e-01"
"13";"71";" 18.31";"  2.286";"medium";"1.305334e-01"
" 3";"11";" 27.27";"  2.156";"potential";"1.420296e-01"
" 3";"11";" 27.27";"  2.156";"context";"1.420296e-01"
" 8";"40";" 20.00";"  2.067";"intersection";"1.504893e-01"
"*****";"*";"*";"*";"*";"*"
" 3";"  3";"100.00";"20.773";"com";"5.171857e-06"
" 3";"  4";" 75.00";"14.130";"far";"1.705604e-04"
" 3";"  5";" 60.00";"10.200";"i_ve";"1.404308e-03"
"29";"142";" 20.42";" 9.816";"new";"1.729539e-03"
" 3";"  6";" 50.00";" 7.626";"whatever";"5.753547e-03"
" 9";" 33";" 27.27";" 6.693";"us";"9.677371e-03"
"63";"415";" 15.18";" 6.322";"to";"1.192179e-02"
" 5";" 16";" 31.25";" 5.116";"old";"2.371036e-02"
" 4";" 13";" 30.77";" 3.926";"been";"4.754545e-02"
" 2";"  5";" 40.00";" 3.401";"too";"6.515395e-02"
" 2";"  5";" 40.00";" 3.401";"thus";"6.515395e-02"
" 2";"  5";" 40.00";" 3.401";"instead";"6.515395e-02"
" 2";"  5";" 40.00";" 3.401";"doesn_t";"6.515395e-02"
" 2";"  6";" 33.33";" 2.337";"re";"1.263658e-01"
"*";"*";"*";"*";"*";"*"
"32";"200";"16";"2.871";"*year_2012-01-01";"0.09020007"
"**";"classe";"2";"**";"";""
"****";"102";"663";"15.38";"****";""
"20";" 44";" 45.45";"32.734";"scholar";"1.056507e-08"
"10";" 15";" 66.67";"31.004";"collaborative";"2.574323e-08"
" 5";"  5";"100.00";"27.709";"imply";"1.410076e-07"
" 7";"  9";" 77.78";"27.285";"future";"1.756118e-07"
" 8";" 14";" 57.14";"19.158";"combine";"1.203456e-05"
" 6";"  9";" 66.67";"18.432";"preservation";"1.760737e-05"
" 6";"  9";" 66.67";"18.432";"encourage";"1.760737e-05"
