"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"humanity";1;0,003;0;0,052;1;1;1
"digital";1;0,098;0,247;1;1;0,646;0,176
"technology";0,419;1;1;0;1;1;1
"research";1;0,003;0,002;0;1;1;1
"tool";0,364;0,064;0;1;1;0,537;1
"dh";0,734;0,612;1;1;0;0,118;1
"study";1;1;0,339;0,44;1;0,928;0
"method";1;0,088;0;1;1;1;1
"way";0,02;1;1;1;0;0,092;1
"work";0,371;0,981;1;1;0,003;1;1
"compute";0,193;0,585;1;0,122;1;1;0,149
"question";0;1;1;1;1;1;1
"field";1;1;1;0;1;1;0,048
"traditional";1;0,435;1;0,878;0,226;1;1
"discipline";1;0,083;1;1;0,026;1;0,824
"define";0,721;1;1;1;0;1;0,024
"computer";1;1;1;1;1;0,423;0
"medium";0,131;1;1;1;1;1;0,001
"scholarship";0,193;1;0,482;0,431;0,574;1;1
"practice";1;0,543;1;0;0,565;1;0,27
"think";0,96;1;1;1;0;0,69;0,051
"humanist";1;1;1;1;0;1;0,563
"human";0,662;1;1;1;1;0;0
"teach";1;1;0,012;0;1;0,634;1
"application";1;0,834;0;0,246;1;1;1
"understand";1;1;1;1;0,001;0,864;0,074
"culture";0,054;1;1;1;1;0,515;0
"knowledge";0,696;1;1;1;0,808;0,002;0,159
"create";1;1;1;1;0,601;0,005;0,003
"humanistic";0;1;1;1;0,111;0,177;1
"text";1;1;1;1;1;0,35;0
"mean";1;1;1;1;0,008;0,035;0,564
"information";1;1;1;0;1;0,655;0,461
"datum";1;0,002;1;1;1;0,001;0,796
"methodology";0,105;0,01;0,505;1;1;1;1
"definition";1;1;1;1;0,001;0,761;0,096
"approach";1;0,036;1;1;1;1;0,068
"term";1;1;1;1;0,002;0,225;0,563
"inquiry";0;1;1;1;0,188;1;1
"computational";1;1;0;1;1;1;0,133
"scholar";1;0;1;1;1;0,101;1
"cultural";1;1;1;1;1;1;0
"science";1;1;1;0,972;1;1;0
"thing";1;1;1;1;0;1;1
"intersection";0,15;1;1;0;1;1;1
"history";1;1;1;1;1;1;0
"social";0,184;1;1;1;1;0,038;0
"art";1;1;1;1;1;1;0
"community";0,768;0,437;1;0,834;1;0,348;0,044
"person";1;1;1;1;0,036;0,001;0,287
"include";1;0,319;1;1;1;0,162;0,001
"develop";0,599;0,022;0,132;0,666;1;1;1
"build";1;1;1;1;0;0,154;1
"analysis";1;0,589;1;1;1;0,66;0
"apply";1;0,011;1;1;1;1;0,005
"answer";0;1;1;1;1;1;1
"involve";1;0,026;1;0,834;0,453;0,348;1
"interest";1;0,842;1;1;1;0;0,009
"explore";0,329;0,015;1;1;1;0,287;1
"engage";0,329;0;1;1;0,062;1;1
"critical";1;1;1;0;1;1;0,002
"subject";1;1;1;0,334;1;1;0
"material";1;0;1;1;1;0,492;1
"activity";1;0,015;1;0,723;1;0,015;0,075
"object";1;1;1;1;0,16;1;0,002
"form";1;0,255;1;1;0,853;1;0,013
"scholarly";1;1;1;0,667;0,048;1;0,018
"project";1;0,645;1;1;0,009;1;0,314
"world";1;1;1;1;0,002;0,024;1
"literature";1;1;1;1;1;1;0
"communication";1;0,017;1;0,217;0,711;0,534;1
"set";0,305;0,579;1;1;0,501;0,41;0,263
"interdisciplinary";1;0,006;1;0,727;1;1;0,001
"resource";1;0,645;0,006;0,79;1;0,132;1
"learn";1;1;1;1;0,066;0,369;0,022
"change";0,036;1;1;1;0,024;0,757;1
"ask";0;1;1;1;1;1;1
"creation";1;0,315;0,996;0,153;1;0,003;1
"concern";0,006;1;1;1;0,992;0,757;0,285
"academic";1;0,267;1;0,125;0,501;0,952;0,928
"process";1;1;1;1;0,004;1;0,475
"language";1;1;1;1;1;0,112;0
"find";1;1;1;1;0;1;1
"base";1;0,148;1;0,002;1;1;0,689
"area";1;0,39;1;0,213;1;0,808;0,042
"share";0,261;0,224;1;1;1;0;1
"relate";1;0,004;1;1;1;0,093;0,475
"open";0,183;0,001;1;1;1;1;0,344
"part";1;1;1;1;0;1;1
"focus";0,549;1;1;0,018;0,723;1;0,408
"bring";1;1;1;1;0,01;0,029;1
"development";1;1;0,093;0,046;1;0,005;1
"technique";1;1;0;1;1;1;0,953
"support";1;1;1;1;1;0,255;0
"collaborative";1;0;1;1;1;1;1
"analyze";1;0,03;1;1;0,992;0;1
"theory";1;0,002;1;1;0,046;1;1
"student";1;0,96;1;1;0,734;0;1
"problem";1;0,795;1;1;0,426;0,168;0,125
"present";0,532;1;1;0,576;0,22;0,485;1
"umbrella";1;1;1;0,727;0,122;0;1
"time";1;1;1;1;0;0;1
"public";1;0,561;1;1;0,823;0;1
"network";1;0,281;1;1;1;0;0,984
"enhance";1;0,281;0,06;1;0,945;1;0,984
"challenge";1;1;1;1;0,006;1;0,037
"write";1;1;1;1;0;1;1
"researcher";1;0,082;1;1;1;0,9;0,038
"production";1;1;1;1;0,734;0,021;0,776
"kind";1;1;1;1;0,556;0,485;0,002
"idea";1;1;1;1;0,012;1;0,072
"experience";1;0,167;1;1;1;0,002;0,78
"enable";0,678;0;1;1;1;1;0,776
"age";0,255;1;1;1;0,001;1;1
"often";1;0;1;1;0,468;1;1
"emerge";1;1;1;0,003;0,945;1;0,186
"design";1;0,004;1;1;0,304;1;0,33
"creative";1;1;1;0,002;1;1;0,413
"content";1;0,033;1;1;0,744;0,319;0,78
"collaboration";0,678;0,009;1;0,084;1;1;1
"technological";1;0,051;1;1;0,847;0,059;0,413
"read";0,766;1;1;1;0,231;1;0,01
"print";0,767;1;1;1;0,002;1;1
"perspective";0,001;1;1;1;1;1;0,136
"opportunity";0;1;1;1;1;0,541;1
"life";1;1;1;1;1;0,125;0,001
"impact";1;1;1;1;1;1;0
"access";0,459;1;0,651;1;1;0,006;1
"view";1;1;1;1;0,744;0,319;0,018
"order";0,459;1;1;1;1;1;0
"mode";0,938;0,051;1;0,019;1;1;1
"environment";1;0,12;1;1;1;0,266;0,252
"communicate";1;1;1;1;0,61;0,001;1
"broadly";1;1;0,951;1;0,638;1;0,001
"seek";0,255;0,002;1;1;1;1;0,672
"result";0,579;1;1;0,021;1;0,828;1
"online";1;1;1;1;0,084;0,042;0,095
"interpretation";0;1;1;1;0,638;0,266;1
"digitally";1;0,795;1;1;0;1;1
"century";1;1;1;1;0,33;0,383;0,047
"wide";1;1;1;1;0,004;0,9;0,038
"source";0;1;1;1;1;0,319;1
"philosophy";1;1;1;1;1;1;0
"pattern";1;1;1;1;0,008;0,125;0,348
"offer";0,03;0,352;1;1;1;0,215;1
"nature";1;1;1;1;1;1;0,001
"mind";1;1;1;1;1;1;0
"electronic";1;1;1;1;1;0,019;0
"combine";1;0;1;1;1;1;0,095
"year";1;1;1;1;0;1;1
"space";1;1;1;1;0,744;0;0,78
"software";1;0;1;1;1;0,011;1
"simply";1;0,901;1;1;0,032;0,215;0,562
"publish";0,854;1;1;1;0,304;0,042;0,78
"provide";1;1;1;1;1;0,029;0,001
"place";1;1;1;1;0;1;0,562
"modern";1;0,004;1;1;1;1;0,095
"innovative";1;0,684;0,639;0,011;1;1;1
"expand";0,766;1;1;1;0,231;0,266;0,672
"evolve";0,854;1;1;0;1;1;0,78
"describe";1;1;1;0,896;0,084;0,319;1
"born";1;1;1;1;0,054;0,967;0,062
"transform";0,048;1;0,951;1;1;0,266;1
"topic";1;0,011;1;0,714;1;1;0,038
"society";0,061;1;1;1;1;0,668;0,775
"record";0,579;0,795;1;1;1;1;0,021
"produce";1;0,684;1;1;0,875;0,125;0,348
"potential";0,142;0,052;1;1;1;1;0,453
"pedagogy";1;1;0,413;0,04;1;0,578;1
"literary";1;1;1;1;1;1;0
"level";1;0,567;1;1;1;1;0,044
"large";1;1;1;1;0,008;0,751;0,906
"interaction";1;0,795;1;1;0,426;1;0,021
"future";1;0;1;1;1;1;0,775
"english";1;1;1;1;1;1;0
"engagement";0,195;1;1;0,036;1;1;0,562
"dissemination";0,048;0,12;1;0,057;1;1;1
"condition";1;1;1;1;1;0;0,038
"web";1;0,081;1;1;1;0,001;0,637
"visualization";1;0,082;1;1;1;0,215;0,562
"variety";1;1;1;0,071;1;1;0,044
"specific";0,034;0,448;1;1;1;1;1
"sense";1;1;1;1;0;1;1
"realm";1;0,684;1;1;0,875;1;0,079
"participate";1;1;1;1;0,426;0,011;0,125
"machine";1;1;1;1;1;1;0
"increase";1;0,197;1;0,516;1;0,751;0,079
"heritage";1;1;1;1;1;0,668;0,004
"exploration";1;1;0,639;0,011;1;0,751;1
"day";0,097;1;1;1;0,008;1;1
"context";0,142;1;1;0,616;0,017;1;1
"broad";0,002;1;1;1;1;1;0,184
"attempt";1;1;1;0,224;1;0,483;0,096
"aspect";0,674;0;1;1;1;0,9;1
"archive";1;0,197;1;1;0,875;0,125;0,906
"analog";1;0,901;1;1;0,531;0;1
"technical";1;1;1;1;0,325;0,006;0,906
"represent";1;1;0,896;0,796;0,041;0,383;1
"relationship";1;1;1;0,616;1;0,168;0,002
"practitioner";1;0,052;1;1;0,994;0,828;0,453
"power";0,579;0,795;1;1;1;0,828;0,021
"point";1;1;1;1;0,018;0,055;1
"investigate";0,621;0,774;0,741;1;1;0,279;0,933
"individual";1;0,448;1;1;1;0,055;0,165
"incorporate";1;1;1;0,071;0,746;1;0,775
"important";1;1;1;1;0,039;1;0,251
"image";1;1;1;1;1;0;0,079
"historian";1;0,774;0,741;1;0,202;0,279;1
"expression";1;1;1;1;0,039;0,003;1
"encompass";1;1;0,639;1;0,875;1;0,348
"audience";0,483;1;1;1;0,07;0,125;0,906
"advance";1;1;1;0;1;0,751;0,906
"value";1;1;1;1;0,008;1;0,01
"role";1;1;1;1;0,008;1;0,348
"program";1;0,081;1;1;0,152;0,578;1
"preservation";1;0;1;1;1;0,668;1
"possibility";0,483;0,197;1;1;1;0,751;0,906
"past";0,621;0,774;0,741;1;1;0,005;1
"long";1;0,567;1;1;0,746;0,668;0,044
"limit";1;1;1;1;1;1;0,001
"issue";1;1;1;1;1;0,055;0,021
"interpret";0;1;1;1;0,325;0,751;1
"internet";1;0,133;1;1;1;0;1
"inform";1;1;0,001;0,416;0,746;1;1
"increasingly";1;1;1;1;0,018;1;0,165
"great";0;1;1;1;0,746;1;0,775
"facilitate";1;0;0,639;1;1;1;1
"exist";1;1;1;1;0,875;1;0,01
"examine";1;0,015;1;1;1;0,668;0,044
"education";0,386;1;1;0,005;0,746;0,668;1
"current";1;1;1;1;0,152;1;0,001
"cover";1;1;1;0,224;1;0,483;0,096
"corpus";0,034;1;1;1;1;1;0,001
"contribute";1;1;1;1;0,61;0,578;0,021
"connect";1;1;1;1;0,202;0,279;0,216
"collection";1;1;1;1;1;0;1
"collaborate";1;1;1;1;1;0;1
"call";1;1;1;1;0;0,751;1
"big";1;1;1;1;0;0,055;1
"add";1;1;1;1;0,008;0,125;1
"user";1;1;1;1;0,33;0,015;0,349
"put";1;1;1;1;0;1;0,775
"pursuit";0,386;1;1;0,416;1;1;0,044
"purpose";1;1;1;1;0,087;1;0,008
"publication";1;1;1;0,071;1;0,087;1
"presentation";1;0,448;1;0;1;0,578;1
"play";1;1;1;1;0,039;0,668;0,251
"model";0,457;1;0,564;1;1;1;0,105
"mine";1;1;1;1;1;0,055;0,021
"methodological";1;1;1;1;0,039;0,087;0,775
"meet";0,897;1;1;1;0,087;0,483;1
"investigation";1;1;0,114;0,071;1;1;1
"intersect";1;0,593;1;0,028;1;1;0,739
"insight";1;1;1;1;0,469;0,483;0,096
"http";0;1;1;1;1;1;1
"give";0,034;1;1;1;1;1;0,021
"game";1;1;1;1;1;1;0
"excite";0,126;1;1;0,796;1;0,383;1
"encourage";1;0;1;1;1;1;0,251
"embrace";1;0,448;1;1;0,152;0,578;1
"disseminate";0,386;0,001;1;1;0,746;1;1
"contemporary";1;1;1;0,48;0,719;1;0,105
"case";1;0,93;1;0,796;0,041;1;1
"boundary";1;1;1;1;0,087;0,483;0,493
"book";1;1;1;1;1;1;0
"artifact";1;1;1;1;1;0,483;0
"analyse";0,065;1;1;1;1;1;0,017
"address";1;0,001;1;1;1;1;0,739
"act";1;1;0,527;1;0,232;0,668;0,775
"word";1;1;1;1;0,33;0,015;0,349
"type";1;0,774;0,741;1;0,912;1;0,216
"traditionally";1;1;1;1;1;1;0
"today";0,767;1;1;1;1;0;0,349
"theoretical";1;1;1;1;0,007;1;0,493
"system";0,897;1;1;1;1;1;0
"structure";1;1;1;1;0,202;0,279;0,216
"simple";0;1;1;1;1;0,578;1
"representation";1;1;1;0,224;0,007;1;1
"range";1;1;1;0,648;0,912;0,005;0,933
"pursue";0,016;0,331;1;1;1;1;1
"press";1;0,593;1;0,48;0,719;1;0,739
"prefer";1;1;1;1;1;1;0
"praxis";1;1;1;1;0,003;1;0,739
"practical";1;0,93;0,896;1;0,33;0,383;1
"platform";1;1;1;0,648;1;0,279;0,017
"physical";1;0,93;1;1;0,33;0,015;1
"paradigm";0,767;1;0,896;0,796;1;1;0,047
"mediate";1;0,593;0,564;1;0,719;1;0,739
"improve";0;1;1;1;1;1;1
"implication";1;1;1;1;0,61;0;1
"identify";1;1;1;1;0;1;1
"historical";0,001;1;1;1;1;1;0,165
"global";1;1;0,564;1;1;1;0,004
"general";1;0,93;1;1;0,041;0,383;1
"full";1;1;1;1;0,61;1;0,001
"force";1;1;1;1;0,087;0,031;1
"extend";1;1;1;0,141;1;1;0,002
"document";1;1;1;0,317;1;0,578;0,165
"academy";1;1;1;1;0,087;1;0,008
"ability";1;1;1;1;1;0,483;0
"utilize";0,767;0,221;1;0,796;1;1;1
