the;62;81;65;71;94;37;99
and;67;83;65;74;84;44;99
of;59;75;65;71;91;37;96
to;63;64;47;37;82;34;88
a;39;44;21;27;78;26;69
in;29;52;28;33;57;22;64
is;40;45;25;31;66;24;64
as;18;26;13;16;48;15;53
that;22;34;21;19;56;23;53
i;16;12;9;11;43;13;37
for;20;26;14;19;36;22;45
new;29;26;12;9;27;13;26
it;14;16;12;7;42;8;31
with;21;29;8;14;34;12;38
or;7;23;13;12;29;15;32
are;9;16;10;9;24;8;33
on;12;15;8;15;25;6;29
use;10;23;23;18;15;8;18
be;8;13;8;3;29;7;24
not;8;16;8;6;27;8;21
an;11;9;5;17;26;13;27
using;14;11;15;12;18;7;23
we;5;2;3;1;21;3;23
by;7;18;7;9;21;8;18
about;9;7;4;4;22;6;15
but;8;11;7;2;23;5;21
from;8;7;4;7;24;7;16
make;6;12;8;7;16;9;14
can;10;9;9;0;18;4;18
our;9;6;3;4;15;6;14
my;6;8;1;5;17;2;20
this;7;5;2;4;20;3;18
more;9;6;3;2;21;5;11
which;9;9;0;3;11;5;14
me;10;9;3;4;16;12;11
at;3;5;7;8;22;4;9
what;5;5;4;0;23;2;12
through;5;10;5;10;13;6;9
also;3;9;5;3;15;6;15
do;4;6;8;0;21;1;11
how;6;2;5;6;11;2;14
have;7;3;1;2;20;5;11
all;7;5;4;2;16;5;8
these;3;7;7;3;9;3;7
one;5;7;1;0;10;3;10
just;5;4;1;0;9;4;10
into;5;4;1;6;9;3;8
their;2;5;2;4;11;5;11
other;2;3;2;1;8;3;18
its;4;6;2;3;11;2;8
who;1;4;4;2;10;4;10
between;3;4;2;8;3;6;12
us;9;2;2;2;7;3;8
within;4;2;2;3;8;0;12
those;6;4;3;2;7;3;13
they;3;7;0;2;9;3;6
would;2;3;2;2;7;3;9
it_s;1;2;5;2;10;4;4
both;2;9;3;4;6;2;7
any;1;8;2;1;6;1;7
so;3;2;3;0;6;1;12
well;5;2;3;2;6;3;10
such;1;2;1;2;8;0;14
has;1;3;0;1;9;2;10
when;3;2;0;0;11;1;5
different;2;2;0;2;6;5;10
if;4;1;2;1;10;2;6
you;0;2;2;0;10;0;3
e;0;3;0;1;2;1;12
some;1;4;1;1;8;0;6
s;2;1;0;0;8;3;6
doing;2;4;1;1;9;1;5
used;0;3;2;1;8;2;7
see;1;1;0;2;3;5;8
i_m;3;0;0;2;9;0;5
don_t;0;0;4;0;9;1;4
being;1;2;1;2;6;2;9
where;2;2;2;2;5;2;4
than;1;2;3;0;9;1;8
something;1;1;0;0;11;2;4
etc;1;2;0;0;4;3;7
will;2;4;0;0;8;1;4
very;2;1;3;1;3;3;6
take;1;5;1;3;3;2;5
may;1;4;0;3;2;1;7
like;1;3;0;0;5;1;10
help;2;6;2;0;4;1;6
them;2;2;1;3;4;2;3
still;1;1;0;3;11;1;3
many;1;2;1;1;6;1;9
know;0;0;0;0;12;2;2
possible;2;3;1;3;2;5;1
only;2;2;1;1;4;2;3
much;1;2;1;0;6;1;3
most;1;2;1;1;4;3;5
g;0;2;0;0;1;1;9
there;1;1;1;1;9;0;5
own;2;3;0;1;3;2;5
out;1;0;0;0;12;1;5
allow;3;1;2;2;3;3;4
2;2;3;2;1;2;2;6
old;5;3;2;0;2;2;2
could;1;3;1;0;6;1;6
because;2;1;1;0;5;1;6
1;1;2;2;1;2;2;6
should;1;1;1;0;8;2;2
now;1;2;0;1;5;1;6
been;4;1;0;0;2;0;6
while;2;2;0;1;4;3;4
whether;0;4;0;2;1;2;2
uses;0;3;4;3;3;0;4
even;2;0;1;0;6;2;6
am;3;0;0;0;6;3;3
up;0;1;2;2;1;1;5
said;0;2;1;1;7;1;2
need;1;2;0;1;3;0;3
become;0;1;1;0;3;1;5
allows;1;2;0;1;3;5;3
together;0;2;1;0;5;4;2
better;3;0;0;2;6;0;2
best;1;1;0;0;8;0;3
same;0;2;1;0;4;1;4
might;0;1;0;1;8;2;0
first;2;3;0;0;6;1;1
example;0;2;0;0;5;0;7
available;1;2;0;1;2;2;1
yet;0;1;2;1;2;0;3
without;2;2;0;0;2;0;4
under;2;0;0;1;3;3;3
rather;1;1;2;1;1;1;4
must;0;1;2;0;2;0;3
further;0;3;2;3;3;0;0
was;2;0;0;0;4;2;2
try;1;2;0;0;2;1;1
though;0;2;1;2;5;0;2
then;1;1;1;0;4;0;1
others;2;0;2;0;5;0;1
consider;0;1;0;0;2;1;8
changes;2;1;0;1;3;0;0
really;0;2;0;1;7;1;0
however;1;2;0;1;3;0;2
done;1;0;0;1;6;0;2
come;0;0;1;0;3;0;3
beyond;0;3;0;1;2;1;3
why;1;0;0;0;3;0;3
two;2;1;0;0;3;2;1
towards;1;3;0;2;1;0;1
self;0;2;1;2;3;1;1
say;1;2;0;1;1;1;3
myself;0;0;0;0;4;0;4
either;1;1;3;0;2;0;2
around;1;1;0;0;3;1;2
among;0;2;0;1;1;0;4
across;0;1;1;0;5;1;2
able;0;0;0;1;3;3;3
various;1;3;1;1;2;0;1
seeing;1;0;1;0;2;1;2
particular;0;1;0;0;0;0;3
name;1;2;0;0;3;1;1
looking;1;1;1;2;3;0;0
least;1;1;0;0;4;1;2
happens;1;1;0;0;2;0;4
each;0;0;1;0;4;0;1
cannot;0;2;0;0;2;2;2
believe;0;0;2;0;3;0;1
were;0;1;0;0;2;2;1
want;1;0;1;0;4;0;2
useful;1;0;0;0;1;1;4
themselves;1;1;0;0;1;0;2
seems;1;0;0;1;2;1;2
re;2;2;0;1;0;0;1
otherwise;0;2;1;2;3;0;0
no;1;0;0;0;3;1;2
itself;1;1;0;1;2;0;2
i_ll;0;0;0;0;5;0;1
get;0;0;0;0;4;0;1
anyone;0;1;0;1;2;3;1
3;1;1;0;1;0;1;4
that_s;0;0;1;0;2;0;1
since;2;0;0;1;1;1;2
over;0;0;0;0;4;1;2
novel;1;0;1;0;2;0;1
needs;1;2;0;0;2;1;1
less;0;0;0;0;3;1;0
last;0;0;0;0;5;0;1
every;1;1;1;0;3;0;1
ever;0;1;0;2;2;1;1
else;0;1;0;0;2;2;1
does;0;0;0;0;4;1;1
did;1;0;0;0;1;0;2
before;1;1;0;0;0;1;3
associated;0;1;0;1;0;0;1
anything;1;1;0;0;0;1;2
always;0;1;0;0;2;0;3
whatever;3;0;1;0;1;0;1
trying;0;0;1;1;4;0;0
non;0;1;0;0;0;1;2
i_ve;3;0;0;0;1;0;1
having;1;0;0;0;3;1;1
few;1;0;0;1;2;0;0
especially;0;0;0;1;1;2;1
down;1;1;0;0;2;0;0
course;0;0;0;1;1;0;1
your;1;1;0;0;2;0;1
too;2;0;0;2;0;0;1
thus;2;1;0;0;1;0;1
someone;0;1;0;0;2;0;1
quite;1;0;0;0;0;0;2
perhaps;1;0;0;0;1;0;3
once;0;0;0;1;3;1;0
merely;1;0;1;0;1;0;2
