"Months","digital humanities","humanities computing"
"2004-01",27,61
"2004-02",45,39
"2004-03",0,0
"2004-04",32,30
"2004-05",0,65
"2004-06",0,0
"2004-07",56,0
"2004-08",0,0
"2004-09",42,0
"2004-10",0,23
"2004-11",39,36
"2004-12",0,0
"2005-01",19,41
"2005-02",35,0
"2005-03",49,19
"2005-04",28,0
"2005-05",27,17
"2005-06",35,0
"2005-07",0,30
"2005-08",13,32
"2005-09",15,15
"2005-10",0,18
"2005-11",37,24
"2005-12",53,0
"2006-01",0,0
"2006-02",36,0
"2006-03",0,16
"2006-04",44,0
"2006-05",9,19
"2006-06",35,0
"2006-07",12,0
"2006-08",24,10
"2006-09",21,29
"2006-10",39,29
"2006-11",47,0
"2006-12",14,0
"2007-01",14,17
"2007-02",26,0
"2007-03",31,10
"2007-04",31,0
"2007-05",25,26
"2007-06",38,28
"2007-07",8,17
"2007-08",0,0
"2007-09",26,0
"2007-10",41,8
"2007-11",23,5
"2007-12",28,0
"2008-01",28,5
"2008-02",40,4
"2008-03",20,21
"2008-04",25,5
"2008-05",22,0
"2008-06",41,18
"2008-07",38,0
"2008-08",14,0
"2008-09",35,4
"2008-10",30,5
"2008-11",37,14
"2008-12",21,10
"2009-01",33,0
"2009-02",35,4
"2009-03",43,8
"2009-04",45,0
"2009-05",29,4
"2009-06",43,0
"2009-07",35,0
"2009-08",33,7
"2009-09",33,3
"2009-10",37,8
"2009-11",31,9
"2009-12",21,4
"2010-01",37,3
"2010-02",47,8
"2010-03",49,5
"2010-04",31,2
"2010-05",42,2
"2010-06",29,0
"2010-07",43,5
"2010-08",33,6
"2010-09",50,7
"2010-10",45,7
"2010-11",45,12
"2010-12",42,4
"2011-01",56,4
"2011-02",56,0
"2011-03",45,7
"2011-04",53,7
"2011-05",50,10
"2011-06",66,5
"2011-07",41,2
"2011-08",49,5
"2011-09",70,3
"2011-10",67,6
"2011-11",54,4
"2011-12",46,8
"2012-01",73,2
"2012-02",72,5
"2012-03",75,0
"2012-04",61,6
"2012-05",59,6
"2012-06",59,4
"2012-07",74,5
"2012-08",58,3
"2012-09",86,2
"2012-10",85,2
"2012-11",82,0
"2012-12",57,0
"2013-01",80,2
"2013-02",86,3
"2013-03",64,3
"2013-04",87,3
"2013-05",66,0
"2013-06",75,4
"2013-07",64,3
"2013-08",66,3
"2013-09",80,2
"2013-10",89,5
"2013-11",91,2
"2013-12",63,0
"2014-01",85,3
"2014-02",90,3
"2014-03",85,3
"2014-04",91,2
"2014-05",72,2
"2014-06",60,2
"2014-07",73,4
"2014-08",68,5
"2014-09",95,5
"2014-10",87,1
"2014-11",85,3
"2014-12",69,4
"2015-01",88,2
"2015-02",88,2
"2015-03",96,4
"2015-04",89,1
"2015-05",86,3
"2015-06",75,3
"2015-07",79,3
"2015-08",68,1
"2015-09",94,1
"2015-10",96,4
"2015-11",91,1
"2015-12",68,1
"2016-01",86,3
"2016-02",99,5
"2016-03",81,3
"2016-04",85,3
"2016-05",90,5
"2016-06",82,2
"2016-07",58,3
"2016-08",62,2
"2016-09",85,4
"2016-10",93,2
"2016-11",83,3
"2016-12",62,4
"2017-01",84,1
"2017-02",97,2
"2017-03",95,2
"2017-04",85,3
"2017-05",75,0
"2017-06",73,3
"2017-07",76,2
"2017-08",69,4
"2017-09",89,5
"2017-10",100,2
"2017-11",84,2
"2017-12",67,2
"2018-01",84,3
"2018-02",84,3
"2018-03",81,1
"2018-04",93,4
"2018-05",70,0
"2018-06",72,2
"2018-07",58,3
"2018-08",56,5
"2018-09",86,0
"2018-10",85,3
"2018-11",75,1
"2018-12",61,0
"2019-01",76,3
"2019-02",87,0
"2019-03",87,3
"2019-04",82,1
"2019-05",65,2
"2019-06",73,4
"2019-07",64,1
"2019-08",65,3
"2019-09",87,1
"2019-10",94,2
"2019-11",74,3
"2019-12",64,2
"2020-01",79,1
"2020-02",76,2
"2020-03",57,1
"2020-04",59,3
"2020-05",69,1
"2020-06",66,2
"2020-07",64,3
"2020-08",61,2
"2020-09",67,2
"2020-10",60,1
"2020-11",56,1
"2020-12",45,2
"2021-01",54,0
"2021-02",58,1
"2021-03",55,2
"2021-04",62,2
"2021-05",51,0
"2021-06",52,0
"2021-07",43,0
"2021-08",46,1
"2021-09",62,2
"2021-10",61,1
"2021-11",55,1
"2021-12",46,1
"2022-01",84,1
"2022-02",88,2
"2022-03",90,2
"2022-04",87,2
"2022-05",73,4
"2022-06",65,1
"2022-07",64,1
"2022-08",68,2
"2022-09",83,2
"2022-10",81,2
"2022-11",89,3
"2022-12",75,2
"2023-01",79,2
"2023-02",88,3
"2023-03",82,3
"2023-04",75,2
"2023-05",73,2
"2023-06",68,3
"2023-07",69,1
